Subject ID,Games,Decisions,NLL (Random model)
849:R_1im5d5ENT1vk0Xm,35,222,748.442706283587
216:R_21j62EoiJ63yEJ5,35,181,618.1729962929568
859:R_2TIcY7St40mDSbp,35,274,894.2095055769506
846:R_z1hBUlYMwkfdbGh,35,228,763.2147478320562
A1186:R_25X9yP84u29qmjb,35,206,686.6244765403617
A157:R_2S7zh1YCdNMj6yh,35,253,819.7365840747246
884:R_1GV2s0YumCvk7mL,35,216,724.5987855895725
262:R_30idhiqurUAv63D,35,213,716.9734082685529
878:R_1oj3N9paNMQNcBO,35,165,566.3938048682592
228:R_ULyuWg2JwZBuGiJ,35,211,686.899690424326
A143:R_RESPGcoZaPUGauR,3,19,63.489689818015975
806:R_2y2vsNf1xM7cyDH,35,248,812.5111532944014
A1098:R_2Ugu89wtmPn7MqW,35,229,754.6057729403616
A1155:R_r1L2X7BOYIy9Nuh,35,208,703.2045128005876
804:R_3EsSw2YvrmJfDkB,35,210,688.2273061265644
A1107:R_1jJRP7qgTeMGQjK,35,259,846.9749903030978
A1084:R_2e2JcZRGwBBrLuc,35,263,832.6786630437547
221:R_2wvlbfkxX6e4M29,35,212,691.8171097526939
A337:R_2Cp82k425UC0gZO,35,237,790.3380273391627
A1195:R_3RjyrEiTIWDXA2x,35,223,743.4609337285897
867:R_1l0RzJzHGvo3BbL,30,149,509.26836032516377
229:R_3KxYOzYEKloODvs,35,197,670.8239534020845
A1183:R_1IRSUcwvzKWHeiK,35,204,690.7854312826762
866:R_1gV06gSb8WYiLyG,35,217,711.5209248611861
A1142:R_2q7AVjiFzzHLJze,35,290,934.7120339868485
869:R_1ISnTo9jrXyYo7m,35,234,774.2832398731832
A1052:R_787p5urRmH36oyR,35,178,608.4889686336517
A1176:R_1IQUAVGM8CMTUs7,35,257,815.9516233301805
A139:R_2PASwn39sTwAjf7,35,209,707.7480459858195
A197:R_24FNrEzIsOLhu9P,35,259,842.1745114732237
A290:R_pbj3IZMREKq4PTj,35,245,798.6373909531521
A919:R_1gqDKLw9vYTuhE7,35,272,882.3947989721404
269:R_2zC5iAXvVOKLmh6,35,205,693.9044954969615
872:R_3qROiZsEr7Bcg5H,35,228,758.3438708299029
A1124:R_1FRFvReh5PWJdU4,35,201,683.1745411986221
A1189:R_2Pbwv5ODYaLw4cM,35,204,689.656129521493
814:R_3g7L4XGVMxJRB0Y,35,201,675.5806712598039
A1218:R_27TjX2Y40PFXng2,35,209,703.6467761019891
A1046:R_2PyWOmUGyUGZUEJ,35,262,850.6636264388642
171:R_1Qck2ykGDls2DLz,35,221,738.9055625386779
805:R_BDtiNRvCWgS3tlv,35,240,784.5792833917773
866:R_31YEgt5MqfcfZMC,35,229,757.8021854354101
810:R_2zjbTiTg8Eyyn0l,35,226,746.5577457133553
811:R_3qjkmgfPqGwc8Ds,35,210,697.3252256632428
A1099:R_xrAaD53OJwbsqch,35,230,769.9983688422662
A1156:R_3PLx6wbMJkWDIHL,35,214,713.1696952206071
A162:R_W6S2JhASxlVGYrn,35,206,696.8815232808695
A160:R_2BhfLUXYvGnrPGY,35,219,721.3345811414044
423:R_2VEZT2fDPyNv1gm,35,208,697.3706275906702
291:R_3fq8dlBEbdOzPCb,35,274,884.2146843041013
231:R_2QRpawEy8w6txvN,35,206,698.9456171037298
A1144:R_1GQ4AZBwXaNGfUa,35,216,717.273759170123
A314:R_1mfw4bW019u3R2s,35,259,826.0807204063944
A1169:R_279by9quxXs7MJg,35,246,806.6901158416853
892:R_2s1049Oc450dUTh,35,219,723.8676765009254
511:R_1q7Lpr4tLzK3kHb,35,204,692.2855536912547
293:R_2aCAcRnL67iaV0l,35,210,710.5688028223508
876:R_2EoXmGjYUQr2dur,35,188,641.7779481828233
A1068:R_wRzI7YBAT4B6vrb,35,249,820.3362293765952
294:R_2zP8FeEoub7z36i,35,189,644.6641518785688
A137:R_1BVGDFLE0MAoBT7,35,219,728.5653619435413
A1190:R_vuhZhSRa1lAUfNT,35,231,753.343674246919
249:R_d1i4xMt2Vzivxg5,35,211,693.1530815556324
A1085:R_2X6TqSaV4sc4OYS,31,175,595.8399972687426
A1203:R_3iUSiDuaITYn9xH,35,237,792.036791869834
A206:R_20NeIyNUzFyrwec,35,205,682.2709353533489
A953:R_6gueSHxvF4UshlT,35,234,781.1157735255812
A1187:R_1Eb6nxfE1nCe4bs,15,114,377.13242482308675
A1157:R_0GqMhnxN1UuSyZP,34,187,636.2749094440412
891:R_4ZvxGd3B7j8Ow4F,35,255,807.5405699577504
535:R_STCj0QvQgvLzWU1,35,197,668.8082002840366
A1164:R_1BW6aO57CMNB7R2,35,203,688.451014615647
875:R_sRIghBHHMf7ejap,35,219,734.7665074750893
A1184:R_28HW4qAaDytUum4,35,183,620.8271147913039
