6144	4202496	Black	1024	2.931	1	A1124
134217792	32768	White	16384	1.308	1	A1124
134357056	49280	White	8388608	2.335	1	A1124
0	0	Black	1	1.762	1	A1124
1	4194304	Black	1024	1.035	1	A1124
0	0	Black	4096	2.808	1	A1124
4096	2097152	Black	4194304	1.446	1	A1124
12605440	2105444	Black	16	0.966	1	A1124
12638352	2166366564	Black	65536	4.329	1	A1124
37756928	5120	White	1048576	2.788	1	A1124
46145568	17830912	White	2048	2.113	1	A1124
8204	20480	White	16	1.215	1	A1124
4592773132	10740846608	White	524288	1.992	1	A1124
0	0	Black	4096	1.406	1	A1124
4328554496	20480	White	4194304	0.362	1	A1124
5419075584	4288512	White	16	1.383	1	A1124
14009010176	4288528	White	2147483648	1.184	1	A1124
128	0	White	2048	0.64	1	A1124
192	2048	White	8192	0.407	1	A1124
1073742880	20480	White	4194304	0.737	1	A1124
1090520096	4214784	White	4294967296	2.445	1	A1124
4194304	0	White	16	2.517	1	A1124
272629760	16	White	64	0.747	1	A1124
14336	1589248	Black	1024	0.835	1	A1124
268435456	0	White	2097152	0.025	1	A1124
1048576	2147483648	Black	2097152	0.475	1	A1124
18882576	7168	White	512	0.487	1	A1124
34431303680	3670016	White	4096	1.781	1	A1124
0	0	Black	8192	1.103	1	A1124
4202496	4096	White	2097152	2.378	1	A1124
8594137096	2101264	White	8388608	1.18	1	A1124
12083814408	4306538512	White	536870912	1.164	1	A1124
536936512	3221225472	White	8589934592	0.523	1	A1124
4100	4294967328	Black	2048	0.872	1	A1124
8395780	4294992416	Black	1048576	1.701	1	A1124
8396800	4096	White	8589934592	0.979	1	A1124
12591136	8589955072	White	2147483648	1.099	1	A1124
549462048	10737438720	White	16777216	1.994	1	A1124
2048	67108864	Black	8192	0.369	1	A1124
10496000	1140883458	Black	8	6.569	1	A1124
1191184384	9442304	White	16	0.571	1	A1124
1461716996	4308603920	White	8192	1.457	1	A1124
