0	0	Black	4194304	4.112	3	149
4194304	16384	Black	8192	2.985	4	149
4202496	49152	Black	16	1.639	2	149
4202512	49156	Black	2147483648	1.058	1	149
134217728	0	White	4194304	1.375	2	149
402653184	4194304	White	1073741824	1.696	2	149
402669568	1077936128	White	2097152	2.399	1	149
402673664	1080033280	White	8192	1.63	3	149
402675712	1080041472	White	536870912	1.922	5	149
17582544896	1616912384	White	32	1.787	1	149
0	0	Black	4194304	2.575	5	149
4194304	8192	Black	2097152	1.525	4	149
6291456	73728	Black	8388608	2.177	2	149
14680064	73856	Black	16777216	1.602	1	149
524288	0	White	2147483648	1.077	2	149
655360	2147483648	White	8388608	1.482	2	149
4849664	2155872256	White	32768	1.394	1	149
4849792	2155905024	White	8589934592	3.741	2	149
4857984	10745839616	White	16	2.997	2	149
6955136	10745839632	White	1048576	1.589	3	149
6959232	10746888208	White	1073741824	1.894	5	149
6960256	11820630032	White	2	3.191	2	149
0	0	Black	4194304	1.365	5	149
4194304	67108864	Black	8388608	0.557	5	149
12582912	67117056	Black	16777216	0.565	3	149
29360128	69214208	Black	33554432	1.169	2	149
67108864	0	White	524288	0.849	3	149
67108872	524288	White	2097152	0.69	5	149
67108876	2621440	White	8388608	1.797	2	149
68157452	11010048	White	4194304	1.75	5	149
68288524	15204352	White	16777216	1.473	1	149
0	0	Black	4194304	1.929	5	149
4194304	1024	Black	1048576	2.703	1	149
5242880	8389632	Black	262144	2.602	4	149
5505024	8913920	Black	268435456	2.049	2	149
273940480	8913928	Black	4096	2.575	3	149
273944576	8913944	Black	4	2.255	5	149
273944580	8915992	Black	4294967296	1.731	2	149
4194304	0	White	8192	2.724	4	149
12582912	8192	White	4096	1.089	2	149
12599296	12288	White	1048576	2.209	4	149
12599328	1060864	White	4294967296	2.275	2	149
281034784	4296028160	White	1073741824	2.087	1	149
283131936	5369769984	White	2147483648	3.181	1	149
0	0	Black	8192	2.393	3	149
8192	1073741824	Black	4194304	1.519	3	149
4202496	3221225472	Black	4294967296	2.843	5	149
4299169792	3758096384	Black	268435456	1.975	4	149
4567605248	3758100480	Black	1048576	1.155	4	149
4568653824	3825209344	Black	8388608	1.528	2	149
4577042432	3825211392	Black	2097152	1.55	1	149
524288	0	White	2147483648	0.129	5	149
4718592	2147483648	White	1048576	1.307	2	149
1078460416	2148532224	White	2097152	0.886	3	149
1078460480	2150629376	White	16384	0.735	1	149
1078468672	2150645760	White	8388608	1.964	5	149
1078468704	2159034368	White	16	3.084	3	149
1078470752	2159034384	White	4096	1.352	1	149
1346906208	2159038480	White	1024	1.708	3	149
1481123936	2159039504	White	8	4.648	1	149
1481124192	2159039512	White	128	1.73	5	149
35840862560	2159039640	White	32768	1.579	1	149
0	0	Black	8388608	1.601	4	149
8388608	4194304	Black	16777216	1.681	4	149
25165824	4194432	Black	33554432	1.058	1	149
58720256	4194496	Black	67108864	1.338	1	149
4194304	0	White	1048576	0.018	3	149
4202496	1048576	White	4096	1.467	2	149
4299169792	1052672	White	16	1.542	5	149
4301266944	1052688	White	268435456	1.752	3	149
0	0	Black	4194304	2.371	3	149
4194304	16	Black	2097152	1.596	5	149
6291456	8388624	Black	524288	1.832	1	149
6815744	8392720	Black	1048576	1.197	5	149
