12288	6291456	Black	16384	1.181	1	A1046
7356552	8598859776	White	1024	12.751	1	A1046
7358600	8598860800	White	2	1.431	1	A1046
7358616	8598860802	White	268435456	1.234	1	A1046
1054720	6291460	Black	8192	3.191	1	A1046
136323092	4200456	White	536870912	6.569	1	A1046
1210065428	541072392	White	262144	1.946	1	A1046
3357680244	4853144584	White	256	1.87	1	A1046
0	0	Black	2097152	1.846	1	A1046
7340032	41943104	Black	524288	0.919	1	A1046
809828360	1077415936	White	2048	7.074	1	A1046
809837065	3224902656	White	2	1.3	1	A1046
4194304	2	Black	8388608	0.637	1	A1046
14680064	150994946	Black	1048576	0.702	1	A1046
0	0	Black	4194304	2.02	1	A1046
4194304	8	Black	8388608	1.488	1	A1046
29376512	34395389960	Black	64	3.462	1	A1046
4299161600	2097152	White	4096	0.944	1	A1046
4307550208	2101248	White	8	1.204	1	A1046
3145728	4227072	Black	524288	0.971	1	A1046
4243460	14336	White	1024	0.916	1	A1046
1080049664	8396866	Black	1048576	2.012	1	A1046
1081099264	8921155	Black	4	3.676	1	A1046
1081099268	76030019	Black	4294967296	2.136	1	A1046
8937536	7340064	White	4096	1.319	1	A1046
2173198412	12892278816	White	34359738368	5.278	1	A1046
96	16400	Black	16777216	7.471	1	A1046
8396804	6291456	White	8	3.146	1	A1046
8429572	6291464	White	4096	1.417	1	A1046
3229655044	6311944	White	4294967296	5.21	1	A1046
8421376	1056768	Black	2147483648	2.033	1	A1046
6467649536	1076895872	Black	33554432	4.307	1	A1046
4202496	8388608	White	2147483648	0.923	1	A1046
4222976	6450839552	White	2048	3.376	1	A1046
2109504	1614823424	Black	268435456	4.757	1	A1046
4202496	2147483648	White	2097152	1.829	1	A1046
4299171852	2157973506	White	1048576	3.921	1	A1046
21479565468	2293272610	White	33554432	3.223	1	A1046
4194304	16384	Black	2097152	1.583	1	A1046
7340032	17196662784	Black	8388608	1.204	1	A1046
4324401160	10773086224	White	256	1.167	1	A1046
39021525224	29697951509	White	2	1.386	1	A1046
4194304	8388608	Black	16384	2.77	1	A1046
20987968	3229646848	Black	17179869184	2.097	1	A1046
4202496	8388608	White	16384	6.445	1	A1046
4206736	2155921408	White	64	6.122	1	A1046
1086324736	2149584896	Black	16384	5.634	1	A1046
8192	0	White	8388608	1.59	1	A1046
24576	8388608	White	4096	1.104	1	A1046
2302730308	10477441040	White	1048576	0.958	1	A1046
16	134217728	Black	4096	1.727	1	A1046
24680	1050646	Black	536870912	1.85	1	A1046
4096	0	White	2097152	1.209	1	A1046
12640280	10754265184	Black	1048576	4.446	1	A1046
