4194304	0	White	1	2.321	1	A1164
29360128	2097153	White	33554432	1.824	1	A1164
4154	26215428	Black	2097152	3.249	1	A1164
25198592	4202496	White	2147483648	0.88	1	A1164
25198656	2151686144	White	16	1.297	1	A1164
8594128896	2097152	White	4096	1.021	1	A1164
6295556	1835016	Black	4294967296	1.766	1	A1164
4294971392	4194304	White	8192	0.883	1	A1164
538980352	4295018496	Black	32	1.261	1	A1164
4112	10485760	Black	1048576	0.831	1	A1164
1052688	10485792	Black	268435456	1.671	1	A1164
7348256	536875032	White	8388608	4.443	1	A1164
0	0	Black	2097152	1.957	1	A1164
2097152	4194304	Black	2048	2.134	1	A1164
9663685636	4295233544	White	8388608	7.308	1	A1164
9667879940	4303622152	White	16	6.871	1	A1164
9668930564	4303622200	White	16384	1.657	1	A1164
0	0	Black	4096	4.749	1	A1164
4096	8	Black	16	1.405	1	A1164
512	0	White	1	4.94	1	A1164
1346372096	1049601	White	536870912	3.24	1	A1164
1346634244	537922561	White	4096	5.588	1	A1164
0	0	Black	2048	1.783	1	A1164
6148	1075847168	Black	1024	3.82	1	A1164
25165824	4096	White	4194304	2.804	1	A1164
58737664	4366274560	White	4	1.656	1	A1164
2105376	16768	Black	536870912	1.728	1	A1164
134479875	1049604	White	512	1.441	1	A1164
2048	64	Black	8	1.788	1	A1164
2056	68	Black	4096	3.356	1	A1164
6152	8260	Black	1024	1.668	1	A1164
8598331392	17179869728	Black	8	1.377	1	A1164
29394976	2149605392	White	33554432	5.605	1	A1164
2050	2147483656	Black	1024	1.282	1	A1164
3074	2181038088	Black	4096	1.483	1	A1164
7170	2181046280	Black	512	1.604	1	A1164
24	3072	Black	4096	1.097	1	A1164
10737451008	4294971392	White	4194304	1.384	1	A1164
10871668740	4315942912	White	8388608	3.321	1	A1164
0	0	Black	8	1.629	1	A1164
2099206	3221750272	Black	536870912	2.456	1	A1164
0	0	Black	4096	1.572	1	A1164
4104	8224	Black	2097152	1.849	1	A1164
2101256	73760	Black	1073741824	1.597	1	A1164
