1073741824	524288	Black	4194304	1.443	4	A1052
1080037376	68943872	Black	8	1.186	4	A1052
29360128	6442450944	White	1073741824	1.199	4	A1052
7516192768	2121728	Black	536870912	1.199	4	A1052
33652736	6442450944	White	1073741824	1.436	4	A1052
0	0	Black	4294967296	1.669	4	A1052
8192	0	White	1073741824	1.104	4	A1052
8320	1073741824	White	2147483648	1.196	4	A1052
8384	3221225472	White	4294967296	1.172	4	A1052
25165826	4112	White	1048576	1.417	4	A1052
72	4294967296	White	2147483648	1.12	4	A1052
77	7516192768	White	536870912	1.507	4	A1052
2048	0	White	2147483648	0.456	4	A1052
134219784	3221225472	White	536870912	1.608	4	A1052
4198404	4297064480	Black	8192	2.873	4	A1052
0	0	Black	4294967296	1.462	4	A1052
4303355904	4198400	Black	16384	1.12	4	A1052
33554496	1073741824	White	4194304	1.202	4	A1052
0	0	Black	536870912	1.837	4	A1052
1077936128	4294975488	Black	16384	1.246	4	A1052
2101376	1610612736	White	2147483648	1.109	4	A1052
7342080	2156396672	Black	2	2.07	4	A1052
16793600	8589934592	White	4294967296	1.155	4	A1052
4198404	4295229568	Black	16384	1.721	4	A1052
9133117508	24696389776	Black	1048576	2.781	4	A1052
24576	16	White	32	2.499	4	A1052
0	0	Black	4194304	1.707	4	A1052
4194304	1048576	Black	8388608	1.262	4	A1052
8388736	1073741824	White	2147483648	1.203	4	A1052
9218	1077936128	White	16384	1.185	4	A1052
4303365227	1081102356	White	524288	1.442	4	A1052
8	8192	Black	16	1.257	4	A1052
2101304	1073750340	Black	16384	3.256	4	A1052
2117688	9663684932	Black	8388608	1.472	4	A1052
0	0	Black	4294967296	1.697	4	A1052
23622320128	43486543872	Black	1073741824	1.778	4	A1052
24696061952	43486552064	Black	268435456	2.997	4	A1052
