0	0	Black	1073741824	2.063	1	227
1073741824	33554432	Black	2147483648	1.384	4	227
3221225472	570425344	Black	4194304	2.936	4	227
3225419776	704643072	Black	1048576	9.259	3	227
3226468352	17884512256	Black	65536	3.439	2	227
3226533888	17884528640	Black	8192	2.005	4	227
3226542080	26474463232	Black	16	3.957	2	227
4294967296	0	White	536870912	1.519	1	227
12884901888	536870912	White	17179869184	1.751	5	227
12884910080	17716740096	White	4194304	1.097	1	227
12884910336	17720934400	White	2147483648	1.249	4	227
12885041408	19868418048	White	67108864	1.116	5	227
12885057792	19935526912	White	32768	1.258	3	227
12885061888	19935559680	White	2048	1.572	2	227
12885061904	19935561728	White	8388608	1.571	3	227
12885061936	19943950336	White	2097152	4.016	5	227
12885062448	19946047488	White	1048576	1.178	3	227
0	0	Black	1073741824	1.693	4	227
1073741824	2147483648	Black	2097152	1.03	2	227
1075838976	2148532224	Black	4096	1.139	5	227
1075843072	6443499520	Black	8	1.041	2	227
4294967296	0	White	2147483648	1.301	3	227
4299161600	2147483648	White	4096	1.743	2	227
5372903424	2147487744	White	1048576	1.974	3	227
5372919808	2148536320	White	64	1.431	1	227
5381308416	2148536384	White	2097152	2.622	1	227
5381316608	2150633536	White	8	6.364	4	227
5381349376	2150633544	White	65536	2.278	2	227
5414903808	2150699080	White	16777216	1.922	1	227
5415428096	2167476296	White	2	11.382	1	227
5415428112	2167476298	White	2048	1.352	2	227
0	0	Black	1048576	1.935	4	227
1048576	4194304	Black	2097152	1.01	5	227
3145728	4202496	Black	16	1.638	5	227
3145744	17184071680	Black	4096	1.111	5	227
3149840	17720942592	Black	268435456	1.273	5	227
8192	0	White	256	0.926	4	227
40960	256	White	131072	0.947	1	227
33595392	131328	White	67108864	3.329	4	227
34393333760	67240192	White	32	3.441	5	227
34393333776	67240224	White	4194304	1.196	1	227
34393350160	71434528	White	65536	1.867	5	227
34393350168	71500064	White	8388608	4.866	3	227
34393352216	79888672	White	1048576	2.247	4	227
34395449368	80937248	White	4294967296	6.877	5	227
34395449370	4375904544	White	4	1.557	4	227
34395450394	4375904548	White	4096	1.335	2	227
0	0	Black	524288	2.024	3	227
524288	8388608	Black	2048	1.124	3	227
526336	8396800	Black	8	1.931	3	227
526344	142614528	Black	8589934592	3.361	3	227
8590460936	146808832	Black	1048576	1.681	3	227
8591509512	148905984	Black	16777216	3.197	2	227
8608286728	148922368	Black	1024	5.776	1	227
8608287752	216031232	Black	536870912	1.414	3	227
9145158664	216064000	Black	1	1.363	1	227
9145158665	216064016	Black	1073741824	1.983	4	227
1048576	0	White	4194304	1.788	2	227
135266304	4194304	White	524288	2.266	2	227
135266368	4718592	White	268435456	1.677	5	227
135266384	273154048	White	32	3.062	1	227
135528528	273154080	White	512	1.462	3	227
135529552	273154592	White	536870912	8.004	4	227
17315398736	810025504	White	2147483648	1.201	2	227
17315398740	2957509152	White	1073741824	0.925	3	227
0	0	Black	512	1.748	3	227
512	4294967296	Black	262144	1.947	5	227
262656	4299161600	Black	4096	1.723	3	227
266752	21479030784	Black	134217728	1.168	5	227
134484480	21479030785	Black	1024	4.951	2	227
134485504	22552772609	Black	2048	0.909	4	227
8388608	0	White	524288	0.841	4	227
12582912	524288	White	2097152	1.33	1	227
2160066560	2621440	White	8192	1.48	4	227
2160099328	2629632	White	16	2.519	1	227
0	0	Black	4194304	0.924	4	227
4194304	1	Black	1024	1.061	2	227
4195328	8193	Black	4096	1.702	3	227
4199424	33562625	Black	512	1.718	3	227
4199936	33564673	Black	524288	1.987	1	227
4724224	35661825	Black	2147483648	2.588	1	227
2152207872	44050433	Black	16384	6.315	5	227
2152224256	44050437	Black	64	3.577	2	227
2152224320	44050445	Black	1073741824	2.106	3	227
131072	0	White	134217728	1.319	4	227
131328	134217728	White	67108864	1.822	2	227
2147614976	201326592	White	1073741824	2.051	3	227
2684485888	1275068416	White	4194304	2.736	1	227
2952921344	1279262720	White	16384	3.15	5	227
2952922368	1279279104	White	64	1.501	5	227
0	0	Black	524288	1.566	2	227
524288	32768	Black	1048576	3.146	2	227
1572864	49152	Black	8192	1.213	1	227
1581056	17179918336	Black	2097152	1.416	1	227
3678208	17314136064	Black	536870912	5.103	1	227
540549120	17318330368	Black	32	1.384	2	227
2	0	White	2048	2.131	1	227
4194306	2048	White	2097152	4.613	2	227
4202498	2099200	White	16	1.921	2	227
4218882	2099216	White	4096	1.613	4	227
4251650	2103312	White	65536	1.472	4	227
12640258	2168848	White	16777216	1.111	1	227
4307607554	18946064	White	8589934592	2.449	4	227
0	0	Black	2097152	1.002	3	227
2097152	17179869184	Black	8589934592	1.019	2	227
8592031744	17179869312	Black	33554432	1.463	3	227
8625586176	17179869344	Black	64	1.572	5	227
8625586240	17448304800	Black	1073741824	1.555	1	227
9699328064	17448304802	Black	1024	1.334	1	227
9699329088	51808043170	Black	2147483648	4.463	5	227
11846812736	56103010466	Black	8388608	4.39	4	227
11855201344	56103010470	Black	16	3.341	3	227
11855201360	56103010471	Black	8	1.715	1	227
11855201368	56103014567	Black	4194304	2.578	2	227
11859395672	56119791783	Black	1048576	1.457	4	227
1024	0	White	524288	1.491	3	227
3072	524288	White	4096	1.182	4	227
536873984	528384	White	268435456	2.622	3	227
537005056	268963840	White	1048576	1.059	5	227
9126939648	270012416	White	16	1.349	1	227
0	0	Black	1048576	1.726	4	227
1048576	8388608	Black	2097152	1.443	2	227
3145728	12582912	Black	16777216	2.38	4	227
19922944	2160066560	Black	4294967296	1.006	4	227
4314890240	2160074752	Black	16	1.269	3	227
4314890256	2160074760	Black	2048	1.841	4	227
4314892304	2160074888	Black	8589934592	2.403	2	227
16384	0	White	4096	1.098	1	227
16793600	4096	White	1048576	1.184	4	227
16793856	1052672	White	1	1.199	5	227
83902720	1052673	White	262144	0.983	1	227
4378870016	1314817	White	1073741824	2.686	5	227
0	0	Black	2097152	1.47	5	227
2097152	8192	Black	16384	0.973	3	227
2113536	8320	Black	32768	2.226	2	227
2146304	73856	Black	33554432	1.184	3	227
35700736	73888	Black	16	2.176	2	227
35700752	73896	Black	8388608	3.244	4	227
44089360	16851112	Black	1024	8.099	5	227
44090384	21045416	Black	524288	8.458	4	227
44614672	21045672	Black	64	1.542	3	227
4294967296	0	White	524288	0.864	5	227
12884901888	524288	White	2147483648	1.007	3	227
47244640256	2148007936	White	17179869184	0.947	1	227
47244640512	19327877120	White	16777216	2.179	2	227
47244642560	19344654336	White	16384	1.55	2	227
47244642592	19344670720	White	16	1.215	2	227
0	0	Black	134217728	1.494	5	227
134217728	536870912	Black	524288	1.47	4	227
134742016	536875008	Black	8	1.962	1	227
134742024	536877056	Black	1024	2.285	1	227
134743048	536885248	Black	16384	1.093	1	227
134759432	536950784	Black	2	3.598	4	227
134759434	570505216	Black	268435456	1.177	4	227
17179869184	0	White	1073741824	1.59	1	227
17179869188	1073741824	White	2048	0.924	2	227
17179869196	1073743872	White	16	0.956	4	227
17179877388	1073743888	White	2	1.193	2	227
17179877452	1073743890	White	8388608	1.249	3	227
17716748364	1082132498	White	4096	2.576	5	227
17717796940	1082136594	White	1024	3.872	1	227
17719894092	1082137618	White	512	1.094	1	227
0	0	Black	524288	1.779	2	227
524288	536870912	Black	2048	1.497	3	227
526336	671088640	Black	4096	1.776	3	227
530432	671096832	Black	1073741824	1.758	4	227
1074272256	673193984	Black	32	1.761	3	227
1074272288	706748416	Black	512	2.706	2	227
1074272800	706749440	Black	268435456	5.863	2	227
1342708256	706749456	Black	4194304	1.945	4	227
1346902560	706749712	Black	64	9.077	5	227
1346902624	706766096	Black	32768	2.583	1	227
1346935392	723543312	Black	8388608	1.617	1	227
1355324000	5018510608	Black	65536	4.012	3	227
67108864	0	White	536870912	0.28	5	227
1140850688	536870912	White	2147483648	0.812	5	227
1140850752	2684354560	White	4194304	1.055	1	227
1157627968	2688548864	White	2097152	0.729	5	227
1157628480	2690646016	White	33554432	0.813	3	227
1158677056	2724200448	White	1024	4.924	3	227
1158685248	2724201472	White	32768	1.526	5	227
1158685376	2724234240	White	268435456	7.954	5	227
9748619968	2992669696	White	32	2.517	1	227
9748624064	2992669728	White	524288	2.36	5	227
9748640448	2993194016	White	2	1.442	5	227
0	0	Black	134217728	1.614	4	227
134217728	262144	Black	524288	1.165	1	227
134742016	262160	Black	8	1.95	1	227
134742024	17039376	Black	2048	0.866	2	227
8192	0	White	34359738368	0.689	5	227
2105344	34359738368	White	536870912	2.759	2	227
6299648	34896609280	White	8388608	3.034	3	227
6303744	34904997888	White	4	3.232	4	227
6305792	34904997892	White	1024	1.429	5	227
0	0	Black	1073741824	1.443	2	227
1073741824	8192	Black	2097152	1.736	3	227
1075838976	4202496	Black	2147483648	1.518	3	227
3223322624	4299169792	Black	4096	1.086	1	227
3223326720	4299169800	Black	16	1.457	5	227
3223326736	38658908168	Black	268435456	3.274	5	227
3491762192	38667296776	Black	1048576	0.794	1	227
67108864	0	White	134217728	0.588	3	227
75497472	134217728	White	16777216	0.973	2	227
75497728	150994944	White	2097152	1.247	2	227
75497760	153092096	White	64	2.415	1	227
75505952	153092160	White	8	1.263	4	227
343941408	153092168	White	524288	5.42	2	227
343941424	153616456	White	536870912	6.571	5	227
343945520	690487368	White	2048	2.809	4	227
0	0	Black	134217728	1.956	4	227
134217728	131072	Black	536870912	1.494	4	227
671088640	1179648	Black	4194304	1.825	1	227
675282944	269615104	Black	4096	2.047	2	227
675287040	271712256	Black	524288	1.548	1	227
675811328	1345454080	Black	65536	4.465	2	227
675876864	1345716224	Black	1024	3.32	4	227
675877888	1345724416	Black	4	2.876	3	227
675877892	5640691712	Black	8	3.501	3	227
675877900	7788175360	Black	2048	1.251	3	227
536870912	0	White	134217728	0.633	5	227
805306368	134217728	White	1048576	0.851	1	227
805830656	135266304	White	1073741824	1.001	5	227
807927808	1209008128	White	1024	1.289	5	227
824705024	1209009152	White	1	1.588	4	227
0	0	Black	536870912	0.973	3	227
536870912	16384	Black	8388608	1.372	1	227
545259520	24576	Black	4096	0.897	5	227
545263616	24608	Black	16	1.147	1	227
545263632	57376	Black	65536	2.12	2	227
545329168	33611808	Black	34359738368	2.087	4	227
34905067536	33611872	Black	128	1.422	2	227
34905067664	34660448	Black	2097152	3.347	4	227
34907164816	35184736	Black	1073741824	2.492	4	227
35980906640	51961952	Black	8589934592	2.0	2	227
44570841232	4346929248	Black	8	1.171	3	227
4194304	0	White	134217728	0.596	5	227
1077936128	134217728	White	16384	1.281	2	227
5372903424	134234112	White	8589934592	1.933	2	227
5381292032	8724168704	White	16777216	1.145	1	227
5383389184	8740945920	White	1048576	1.168	3	227
5383454720	8741994496	White	4096	2.402	5	227
