14680064	33579008	Black	16777216	1.537	4	171
17179869184	0	White	2147483648	1.66	4	171
3223324672	4307558400	Black	2	1.963	4	171
34426847232	4294967296	White	2147483648	1.288	4	171
34426978304	6442450944	White	256	1.461	4	171
0	0	Black	4194304	1.751	4	171
4194304	1048576	Black	2097152	1.244	4	171
2162163712	1091575808	Black	16384	1.698	4	171
2162212881	1091641568	Black	256	6.996	4	171
112	3221225472	White	8	0.771	4	171
16384	65536	Black	32768	1.066	4	171
49152	69632	Black	8192	1.136	4	171
57344	71680	Black	1024	1.89	4	171
58368	67180544	Black	8388608	1.714	4	171
12641280	4378925056	Black	2097152	0.706	4	171
2106368	4198400	White	32	1.449	4	171
270558338	541626400	White	1073741824	1.752	4	171
8192	8	Black	4096	1.597	4	171
536592	2124	Black	2	1.508	4	171
14168082	2418083916	Black	16777216	2.659	4	171
17210814482	2451638476	Black	16384	2.014	4	171
2146304	1077936128	White	1048576	1.733	4	171
6291456	32832	Black	16777216	1.384	4	171
2097152	0	White	536870912	1.511	4	171
6449827848	9672155172	Black	524288	1.763	4	171
0	0	Black	2147483648	1.45	4	171
6442450944	42949672960	Black	1073741824	1.247	4	171
7516192768	42951770112	Black	536870912	0.701	4	171
547356672	3221225472	White	4294967296	0.736	4	171
3221231616	4299177992	Black	8192	3.092	4	171
3229628416	4836049928	Black	2097152	2.381	4	171
2147483648	1024	Black	4194304	0.817	4	171
2153775104	17179870210	Black	8192	0.998	4	171
1610612736	4198400	Black	2147483648	1.521	4	171
4295033088	3221225472	White	536870912	1.028	4	171
4563468544	3758096384	White	16777216	1.893	4	171
4563476736	3774873600	White	4194304	1.354	4	171
4563509504	3779067904	White	16384	1.225	4	171
18263105542	15307182080	White	524288	0.773	4	171
18263105671	15307706432	White	8	1.159	4	171
1077936128	129	Black	16384	0.867	4	171
518	4299161600	White	1	2.154	4	171
12288	2147483648	White	2048	1.516	4	171
0	0	Black	2147483648	1.123	4	171
3222275072	268960257	Black	536870912	2.376	4	171
3759145984	268962305	Black	4294967296	0.665	4	171
