0	0	Black	8192	2.314	1	A1176
8192	17179869184	Black	16384	1.609	1	A1176
24576	17213423616	Black	65536	3.482	3	A1176
90112	17213456384	Black	32	2.959	1	A1176
90144	17213460480	Black	4194304	4.263	5	A1176
4284448	17213460544	Black	16777216	5.099	5	A1176
21061664	17213460672	Black	4294967296	2.176	5	A1176
4316028960	17750331584	Black	8388608	1.671	1	A1176
16384	0	White	4096	3.559	4	A1176
8404992	4096	White	4294967296	3.349	1	A1176
12599296	4294971392	White	2097152	4.667	1	A1176
12599300	4297068544	White	8192	4.178	2	A1176
12599308	4297076736	White	32	2.231	5	A1176
29376524	4297076768	White	536870912	1.781	4	A1176
0	0	Black	8192	1.965	3	A1176
8192	4194304	Black	16384	2.174	4	A1176
24576	4198400	Black	8388608	3.771	4	A1176
8413184	4198432	Black	8	6.174	2	A1176
8413192	4198448	Black	8589934592	1.457	4	A1176
8388608	0	White	4096	1.432	5	A1176
8421376	4096	White	8192	2.037	4	A1176
8683520	12288	White	4194304	2.018	4	A1176
4303650816	4206592	White	16384	1.728	2	A1176
4303652864	4222976	White	64	3.946	2	A1176
6451136512	4223040	White	1073741824	1.265	5	A1176
0	0	Black	8192	1.818	4	A1176
8192	536870912	Black	16384	2.366	5	A1176
24576	541065216	Black	4096	4.773	4	A1176
28672	541097984	Black	2048	1.273	2	A1176
4096	0	White	8192	1.503	5	A1176
4198400	8192	White	16384	4.709	3	A1176
4299165696	24576	White	4	1.377	5	A1176
4301262848	24580	White	8	4.31	1	A1176
4309651456	24588	White	16	10.686	3	A1176
4309651488	24604	White	2	1.607	4	A1176
0	0	Black	8192	1.05	5	A1176
8192	524288	Black	16384	1.395	3	A1176
24576	2621440	Black	4096	2.044	1	A1176
28672	2621456	Black	2048	0.976	4	A1176
8	0	White	8192	1.536	4	A1176
40	8192	White	16	3.169	1	A1176
8388648	8208	White	4194304	3.145	5	A1176
2155872296	4202512	White	16384	1.519	5	A1176
2155905064	4218896	White	4096	2.044	2	A1176
2155907112	4222992	White	128	1.957	3	A1176
2172684328	4223120	White	64	3.938	4	A1176
6467651624	4223184	White	1073741824	1.169	3	A1176
0	0	Black	8192	1.146	4	A1176
8192	4194304	Black	4096	0.698	2	A1176
12288	4210688	Black	2048	2.878	1	A1176
14336	6307840	Black	1024	1.15	4	A1176
512	0	White	8192	1.459	2	A1176
2147484160	8192	White	4096	1.91	3	A1176
2147500544	12288	White	2097152	1.681	3	A1176
6442467840	2109440	White	1073741824	1.531	2	A1176
6442467848	1075851264	White	536870912	1.891	1	A1176
6450856456	1612722176	White	32	1.194	2	A1176
0	0	Black	8192	1.777	3	A1176
8192	524288	Black	4096	1.032	4	A1176
12288	525312	Black	2048	1.463	3	A1176
14336	541696	Black	2	3.04	4	A1176
14338	803840	Black	2097152	1.476	1	A1176
2111490	1852416	Black	2147483648	1.329	3	A1176
128	0	White	8192	0.025	5	A1176
2097280	8192	White	16384	2.865	4	A1176
2101376	24576	White	32768	2.397	3	A1176
2166912	57344	White	8	2.776	5	A1176
4297134208	57352	White	8388608	2.746	2	A1176
4297136256	8445960	White	8589934592	1.02	5	A1176
0	0	Black	8192	0.929	3	A1176
8192	16777216	Black	4096	0.728	4	A1176
12288	17196646400	Black	16384	1.059	3	A1176
28672	17205035008	Black	32768	0.743	2	A1176
256	0	White	8192	1.299	1	A1176
67109120	8192	White	16384	2.295	4	A1176
67240192	24576	White	34359738368	1.274	3	A1176
67244288	34359762944	White	32768	5.063	2	A1176
69341440	34359795712	White	65536	0.943	5	A1176
0	0	Black	8192	1.107	3	A1176
8192	16	Black	16384	0.834	5	A1176
24576	20	Black	4096	2.705	5	A1176
28672	2068	Black	32768	1.213	2	A1176
4194304	0	White	8192	1.439	5	A1176
37748736	8192	White	16384	3.036	2	A1176
37781504	24576	White	4096	4.641	3	A1176
37783552	28672	White	32	3.146	1	A1176
37783556	28704	White	536870912	2.773	5	A1176
39880708	536899616	White	1048576	5.551	1	A1176
48269316	537948192	White	16777216	1.342	1	A1176
48269332	554725408	White	64	7.18	3	A1176
48269340	554725472	White	2	1.299	4	A1176
2195752988	554725474	White	128	6.029	1	A1176
2195753244	554725602	White	1024	11.852	2	A1176
10785687836	554726626	White	4294967296	13.765	4	A1176
10786212124	4849693922	White	1073741824	4.311	4	A1176
0	0	Black	8192	1.502	1	A1176
8192	2147483648	Black	4096	1.489	3	A1176
12288	2147516416	Black	2048	1.812	5	A1176
14336	2147516544	Black	16384	1.26	2	A1176
2097152	0	White	8192	1.186	4	A1176
2162688	8192	White	4096	2.004	5	A1176
2164736	12288	White	2147483648	2.364	1	A1176
