subject_ID,Gender,ExactAge,FlooredAge,Connect4DataChecked,MARSDataChecked,QualtricsDataChecked,ConsentFormEnd,FOSEnd,TotalStudyTime,LatestOtherMaRSDate,TimeBetweenMaRS,What is your race?:,Are you Hispanic?:
A1099,F,22.5205,22,Y,Y,Y,3/7/21 11:35,3/7/21 12:01,0:25:47,NA,NA,Asian,No
A1107,M,24.4247,24,Y,Y,Y,2/24/21 11:26,2/24/21 11:53,0:27:31,NA,NA,Black/African American,No
A1124,F,22.7945,22,Y,Y,Y,2/24/21 18:25,2/24/21 18:48,0:22:18,NA,NA,Caucasian/White,No
A1084,F,20.6082,20,Y,Y,Y,2/27/21 13:35,2/27/21 14:06,0:30:35,NA,NA,Caucasian/White,No
A1088,F,23.0658,23,Y,Y,Y,2/25/21 9:54,2/25/21 10:32,0:37:47,NA,NA,Asian,No
A1046,F,20.2877,20,Y,Y,Y,3/1/21 10:17,3/1/21 10:51,0:33:37,NA,NA,Asian,No
A1052,M,25.6466,25,Y,DATA SAVED TWICE,Y,2/26/21 3:56,2/26/21 4:20,0:24:18,NA,NA,Caucasian/White,No
A1189,F,19.2849,19,Y,Y,Y,3/3/21 12:50,3/3/21 13:20,0:29:03,NA,NA,Asian,No
A1190,F,22.2219,22,Y,Y,Y,3/3/21 17:01,3/3/21 17:30,0:28:58,NA,NA,Mixed Race,No
A1195,M,23.2795,23,Y,DATA SAVED TWICE,Y,3/3/21 13:06,3/3/21 13:46,0:39:46,NA,NA,Caucasian/White,No
A137,F,24.9726,24,Y,MISSING,Y,3/10/21 7:57,3/11/21 14:10,6:12:38,NA,NA,Asian,No
A139,F,25.9014,25,Y,Y,Y,3/5/21 20:09,3/5/21 20:38,0:29:23,NA,NA,NA,Yes
A157,F,19.5178,19,Y,DATA SAVED TWICE,Y,3/3/21 9:44,3/3/21 10:24,0:40:01,NA,NA,Mixed Race,Yes
A160,F,18.9534,18,Y,DATA SAVED TWICE,Y,3/8/21 0:56,3/8/21 1:20,0:23:41,NA,NA,Asian,No
A162,F,22.3315,22,Y,Y,Y,3/7/21 12:22,3/7/21 12:51,0:29:18,NA,NA,Asian,No
A115,M,21.5425,21,Y,Y,Y,3/8/21 9:03,3/8/21 9:40,0:37:00,NA,NA,Asian,Yes
A197,M,21.0274,21,Y,Y,Y,3/30/21 19:11,3/30/21 19:46,0:34:12,6/27/20,276,Caucasian/White,Yes
A206,F,23.2986,23,Y,Y,Y,3/8/21 14:18,3/8/21 14:48,0:29:32,NA,NA,Caucasian/White,No
A217,F,25.3918,25,Y,MISSING,Y,3/11/21 18:25,3/12/21 20:16,1:50:53,NA,NA,Asian,No
A242,F,21.7589,21,Y,MISSING,Y,3/14/21 19:58,3/15/21 15:00,19:01:41,NA,NA,Caucasian/White,No
A259,F,25.8301,25,Y,MISSING,Y,3/11/21 16:16,3/12/21 17:04,0:47:06,NA,NA,Caucasian/White,No
A290,F,18.3479,18,Y,DATA SAVED TWICE,Y,4/2/21 10:40,4/2/21 11:16,0:36:07,NA,NA,Asian,No
A314,F,18.874,18,Y,Y,Y,4/2/21 18:55,4/2/21 19:29,0:34:06,NA,NA,Caucasian/White,No
A337,F,24.1973,24,Y,DATA SAVED TWICE,Y,4/2/21 11:34,4/2/21 12:19,0:45:51,NA,NA,Black/African American,No
A1198,F,20.0712,20,Y,Y,Y,4/3/21 14:54,4/3/21 15:44,0:50:37,NA,NA,Asian,No
A953,F,20.9918,20,Y,DATA SAVED TWICE,Y,4/3/21 15:02,4/3/21 15:17,0:14:56,NA,NA,Asian,No
A927,M,22.2192,22,Y,Y,Y,4/13/21 15:51,4/13/21 16:17,0:25:25,NA,NA,Asian,No
A919,M,22.1808,22,Y,DATA SAVED TWICE,Y,4/7/21 13:35,4/7/21 14:21,0:45:53,NA,NA,Asian,No
A1218,M,22.274,22,Y,Y,Y,4/8/21 16:04,4/8/21 16:33,0:28:26,NA,NA,Mixed Race,Yes
A1203,M,22.6438,22,Y,Y,Y,4/11/21 13:14,4/11/21 13:43,0:29:33,NA,NA,Caucasian/White,Yes
A1142,M,22.9918,22,Y,DATA SAVED TWICE,Y,4/8/21 14:06,4/8/21 14:55,0:48:43,NA,NA,Caucasian/White,Yes
A1068,M,22.2493,22,Y,Y,Y,4/10/21 14:41,4/10/21 15:02,0:21:17,NA,NA,Caucasian/White,No
A1156,M,22.3479,22,Y,DATA SAVED TWICE,Y,2/26/21 4:35,2/26/21 5:10,0:34:52,NA,NA,Black/African American,No
A1186,M,22.3479,22,Y,Y,Y,2/25/21 17:02,2/25/21 17:28,0:26:04,NA,NA,Asian,No
101,F,17.4904,17,Y,Y,Y,11/9/20 11:23,11/9/20 11:49,0:25:17,6/9/20,153,Asian,No
102,F,15.0055,15,Y,Y,Y,11/10/20 18:48,11/10/20 19:21,0:32:52,6/9/20,154,Asian,No
107,M,12.726,12,Y,Y,Y,11/12/20 17:12,11/12/20 17:47,0:35:24,6/11/20,154,Black/African American,No
117,F,15.9315,15,Y,Y,Y,11/13/20 16:04,11/13/20 16:28,0:23:16,6/12/20,154,Mixed Race,No
121,F,14.4055,14,Y,Y,Y,11/13/20 15:06,11/13/20 15:33,0:27:15,6/12/20,154,Mixed Race,No
129,M,14.2712,14,Y,Y,Y,11/14/20 12:22,11/14/20 12:50,0:28:20,6/14/20,153,Asian,No
139,F,10.0219,10,Y,Y,Y,11/12/20 14:33,11/12/20 15:07,0:34:31,6/5/20,160,Caucasian/White,No
150,M,11.7589,11,Y,Y,Y,11/19/20 12:55,11/19/20 13:25,0:30:17,NA,NA,Black/African American,Yes
152,M,8.0247,8,Y,Y,Y,11/16/20 17:25,11/16/20 18:02,0:36:57,NA,NA,Black/African American,No
156,F,10.5041,10,Y,Y,Y,11/18/20 5:06,11/18/20 5:33,0:26:51,NA,NA,Black/African American,No
166,M,11.1123,11,Y,Y,Y,11/21/20 9:09,11/21/20 9:45,0:35:32,NA,NA,Black/African American,No
137,F,11.0849,11,Y,Y,Y,11/20/20 19:33,11/20/20 20:18,0:44:55,6/23/20,150,Black/African American,No
256,F,17.7205,17,Y,Y,Y,12/3/20 18:17,12/3/20 18:50,0:32:17,6/12/20,174,Asian,No
175,F,13.7918,13,Y,Y,Y,12/5/20 18:57,12/5/20 19:28,0:30:19,6/12/20,176,Caucasian/White,No
181,F,16.4,16,Y,Y,Y,12/6/20 14:06,12/6/20 14:29,0:23:06,6/16/20,173,Caucasian/White,No
