nll,subject,fold,planning depth,feature drop rate,heuristic quality,elo,StudyID,DoB,Gender,ExactAge,FlooredAge,TaskDate,ageBin,ageBinNr,ageBinValue
83.04049999999998,101:R_31SM3mwQvAhBwar,1.0,6.95788,0.49594,0.4500090247556165,227.0,101,5/19/03,F,17.4904,17.0,11/9/20,"(12.0, 17.0]",1.0,15.0
95.79789999999998,101:R_31SM3mwQvAhBwar,2.0,6.87672,0.33766,0.42107045191216746,227.0,101,5/19/03,F,17.4904,17.0,11/9/20,"(12.0, 17.0]",1.0,15.0
88.4858,101:R_31SM3mwQvAhBwar,3.0,7.52913,0.25449,0.4253622593579464,227.0,101,5/19/03,F,17.4904,17.0,11/9/20,"(12.0, 17.0]",1.0,15.0
82.03699999999998,101:R_31SM3mwQvAhBwar,4.0,5.6946,0.28526,0.44324751089427056,227.0,101,5/19/03,F,17.4904,17.0,11/9/20,"(12.0, 17.0]",1.0,15.0
77.84440000000002,101:R_31SM3mwQvAhBwar,5.0,6.948760000000001,0.31179,0.4329742083193951,227.0,101,5/19/03,F,17.4904,17.0,11/9/20,"(12.0, 17.0]",1.0,15.0
99.50309999999998,102:R_vdABJ1XvXNriwff,1.0,6.701969999999999,0.22102,0.5607874566827287,179.0,102,11/12/05,F,15.0055,15.0,11/10/20,"(12.0, 17.0]",1.0,15.0
96.6705,102:R_vdABJ1XvXNriwff,2.0,3.5279300000000005,0.25515,0.5634415845864112,179.0,102,11/12/05,F,15.0055,15.0,11/10/20,"(12.0, 17.0]",1.0,15.0
101.06390000000002,102:R_vdABJ1XvXNriwff,3.0,8.704089999999999,0.28834,0.5526881676008831,179.0,102,11/12/05,F,15.0055,15.0,11/10/20,"(12.0, 17.0]",1.0,15.0
94.81490000000002,102:R_vdABJ1XvXNriwff,4.0,5.625780000000001,0.40358,0.5712660790559406,179.0,102,11/12/05,F,15.0055,15.0,11/10/20,"(12.0, 17.0]",1.0,15.0
98.64929999999997,102:R_vdABJ1XvXNriwff,5.0,3.0958799999999997,0.16926,0.5611087144134346,179.0,102,11/12/05,F,15.0055,15.0,11/10/20,"(12.0, 17.0]",1.0,15.0
85.1836,107:R_2ahKzS67s2u094R,1.0,2.15476,0.32911,0.5304725227234056,179.0,107,2/24/08,M,12.725999999999999,12.0,11/12/20,"(7.0, 12.0]",0.0,10.0
83.5456,107:R_2ahKzS67s2u094R,2.0,0.00229843,0.24643,0.5400372164329454,179.0,107,2/24/08,M,12.725999999999999,12.0,11/12/20,"(7.0, 12.0]",0.0,10.0
72.235,107:R_2ahKzS67s2u094R,3.0,1.82415e-05,0.33859,0.4786604616850582,179.0,107,2/24/08,M,12.725999999999999,12.0,11/12/20,"(7.0, 12.0]",0.0,10.0
77.8913,107:R_2ahKzS67s2u094R,4.0,0.0,0.30254000000000003,0.5207659436485941,179.0,107,2/24/08,M,12.725999999999999,12.0,11/12/20,"(7.0, 12.0]",0.0,10.0
89.45930000000001,107:R_2ahKzS67s2u094R,5.0,2.04601,0.34492,0.5307902824058552,179.0,107,2/24/08,M,12.725999999999999,12.0,11/12/20,"(7.0, 12.0]",0.0,10.0
105.2609,117:R_2XpQzVOPaMJjkCo,1.0,2.1185,0.14478,0.4879935790905758,109.0,117,12/12/04,F,15.9315,15.0,11/13/20,"(12.0, 17.0]",1.0,15.0
80.00350000000002,117:R_2XpQzVOPaMJjkCo,2.0,4.02895,0.18797,0.5430795290406033,109.0,117,12/12/04,F,15.9315,15.0,11/13/20,"(12.0, 17.0]",1.0,15.0
95.23099999999998,117:R_2XpQzVOPaMJjkCo,3.0,2.6122900000000002,0.21713,0.5516292708435344,109.0,117,12/12/04,F,15.9315,15.0,11/13/20,"(12.0, 17.0]",1.0,15.0
78.76410000000001,117:R_2XpQzVOPaMJjkCo,4.0,1.18296,0.18091,0.5363598701675345,109.0,117,12/12/04,F,15.9315,15.0,11/13/20,"(12.0, 17.0]",1.0,15.0
75.63619999999997,117:R_2XpQzVOPaMJjkCo,5.0,6.817310000000001,0.25197,0.5327209788337396,109.0,117,12/12/04,F,15.9315,15.0,11/13/20,"(12.0, 17.0]",1.0,15.0
108.39399999999998,121:R_2zoxitKzRuYUblm,1.0,6.10693,0.34853,0.5525712329473624,-9.0,121,6/22/06,F,14.4055,14.0,11/13/20,"(12.0, 17.0]",1.0,15.0
108.34029999999996,121:R_2zoxitKzRuYUblm,2.0,2.47791,0.11132,0.5253520535328763,-9.0,121,6/22/06,F,14.4055,14.0,11/13/20,"(12.0, 17.0]",1.0,15.0
117.02249999999998,121:R_2zoxitKzRuYUblm,3.0,2.19259,0.17997,0.5502870015007983,-9.0,121,6/22/06,F,14.4055,14.0,11/13/20,"(12.0, 17.0]",1.0,15.0
93.7499,121:R_2zoxitKzRuYUblm,4.0,4.82986,0.33114,0.5572505881743766,-9.0,121,6/22/06,F,14.4055,14.0,11/13/20,"(12.0, 17.0]",1.0,15.0
103.83719999999997,121:R_2zoxitKzRuYUblm,5.0,3.90469,0.29284,0.5267272630139097,-9.0,121,6/22/06,F,14.4055,14.0,11/13/20,"(12.0, 17.0]",1.0,15.0
104.68249999999998,129:R_2q8z9DfvMUHDZio,1.0,8.100489999999999,0.29697,0.5642882653175935,129.0,129,8/11/06,M,14.2712,14.0,11/14/20,"(12.0, 17.0]",1.0,15.0
86.15619999999998,129:R_2q8z9DfvMUHDZio,2.0,4.38105,0.32378,0.5602189214076759,129.0,129,8/11/06,M,14.2712,14.0,11/14/20,"(12.0, 17.0]",1.0,15.0
