subject,fold,planningDepth,featureDropRate,heuristicQuality,elo,ExactAge,FlooredAge,ageBinNr,ageBinValue
311:R_3pgcvaDmcvM4aTR,3,4.617940835,0.372266,0.552193118,156,16.3233,16,1,15
329:R_23eNWjNjj4QQj6j,3,5.286888,0.258812,0.54309957,168,16.5781,16,1,15
342:R_3mmldwGes6cKAa2,3,5.739362,0.22379192,0.574098043,104,11.8164,11,0,10
353:R_poraw4AzFhTIAxP,3,4.298876,0.352066,0.596706086,44,14.2219,14,1,15
372:R_Pwksr0eXcbCEd8d,3,16.263678,7.36E-05,0.059890265,-198,17.0712,17,1,15
388:R_dpq89nsKJ0JiXRL,3,6.493666,0.24502,0.626702924,284,17.337,17,1,15
423:R_2VEZT2fDPyNv1gm,3,14.832268,0.000296802,0.04221531,-187,8.326,8,0,10
436:R_UYNV3EWWRV3lLoZ,3,13.529514,0.107196017,0.115107796,-127,9.3836,9,0,10
442:R_3Ld88EjI8BWuUys,3,6.728382516,0.209364203,0.394917741,107,12.1205,12,0,10
449:R_2bWfpiDHdXVr7kL,3,7.45606,0.1643024,0.594711416,222,17.0274,17,1,15
459:R_3h3FwGmfU7ntaRK,3,4.418678,0.338782,0.532184977,220,15.2904,15,1,15
511:R_1q7Lpr4tLzK3kHb,3,2.975268,0.357928,0.547196017,244,10.9726,10,0,10
535:R_STCj0QvQgvLzWU1,3,2.522204521,0.369714,0.547107651,78,10.8438,10,0,10
560:R_WxOwlLd4093w8lH,3,7.56,0.442266,0.37549744,151,8.2274,8,0,10
804:R_3EsSw2YvrmJfDkB,3,1.53561392,0.288094,0.493749145,5,14.1753,14,1,15
805:R_BDtiNRvCWgS3tlv,3,3.077952,0.271922,0.513072519,-38,11.989,11,0,10
806:R_2y2vsNf1xM7cyDH,3,4.028052,0.589246,0.484319902,-29,8.3945,8,0,10
810:R_2zjbTiTg8Eyyn0l,3,6.437488,0.201936,0.560097457,107,10.0411,10,0,10
811:R_3qjkmgfPqGwc8Ds,3,4.7568,0.231922,0.507868824,252,8.8658,8,0,10
814:R_3g7L4XGVMxJRB0Y,3,3.492032,0.39547,0.397060852,-128,8.8877,8,0,10
832:R_xlnbFfl5i6Zgz5v,3,2.015977276,0.441312,0.29455207,-108,8.1233,8,0,10
833:R_1IsH6cT55Ys9Qu4,3,1.7872442,0.3125182,0.474783317,-94,10.9233,10,0,10
834:R_30ppJhWfEZIOoSi,3,1.207048173,0.398778,0.252674672,-81,8.1288,8,0,10
842:R_3jciZNiYxaSffqd,3,6.960642,0.298914,0.546049624,91,17.2795,17,1,15
844:R_2D6PtBpvztH0yVh,3,14.212606,0.123820006,0.121819013,-205,10.0164,10,0,10
846:R_z1hBUlYMwkfdbGh,3,4.331558,0.394338,0.52201332,32,13.7918,13,1,15
849:R_1im5d5ENT1vk0Xm,3,5.04452,0.344474,0.577586498,92,11.6986,11,0,10
856:R_3EEYoLyNN9SpuuT,3,6.90299,0.100950363,0.386458349,274,10.6493,10,0,10
858:R_3NR4vGxEweQ74vU,3,2.846644131,0.370324,0.568495714,117,15.674,15,1,15
859:R_2TIcY7St40mDSbp,3,3.948406,0.097850522,0.279562863,-109,13.2,13,1,15
866:R_31YEgt5MqfcfZMC,3,3.2473,0.440072,0.506455989,-41,16.4877,16,1,15
868:R_3fr4BoB7aWIvPgR,3,2.681041792,0.350724,0.553729764,40,16.1014,16,1,15
869:R_1ISnTo9jrXyYo7m,3,5.872259449,0.195162,0.623272828,207,16.9973,16,1,15
870:R_2xVJtapsa8AgCqQ,3,3.085538,0.264732,0.103493394,55,10.6192,10,0,10
872:R_3qROiZsEr7Bcg5H,3,3.71967728,0.44373,0.515922014,84,8.9041,8,0,10
874:R_1odMCxxk6eeEibU,3,3.237812,0.54212,0.568590118,-31,15.8986,15,1,15
875:R_sRIghBHHMf7ejap,3,0.46203206,0.1888018,0.116583517,-86,9.5616,9,0,10
876:R_2EoXmGjYUQr2dur,3,0.769388066,0.296568,0.516648205,90,13.4712,13,1,15
877:R_3OdnHFXpuFf8un0,3,5.462496,0.29654,0.515638524,163,16.6493,16,1,15
878:R_1oj3N9paNMQNcBO,3,1.442435718,0.279144,0.573912402,108,13.3781,13,1,15
883:R_b255PQj1bstkMjD,3,7.269388,0.365132,0.546449739,-99,14.989,14,1,15
884:R_1GV2s0YumCvk7mL,3,7.521764,0.176828,0.580796694,265,15.3808,15,1,15
889:R_1lbZpf1sOuV5qV6,3,1.473516,0.324018,0.503866861,-9,12.0329,12,0,10
890:R_3k6BHPoEBivOVoU,3,3.655302,0.304232,0.575263666,76,14.6849,14,1,15
891:R_4ZvxGd3B7j8Ow4F,3,5.156162,0.296486,0.553774608,206,12.3753,12,0,10
892:R_2s1049Oc450dUTh,3,7.790928,0.274786,0.557945892,144,11.5068,11,0,10
893:R_0UL4gyg02Zovjjz,3,6.52366,0.371618,0.466848982,107,9.2274,9,0,10
A101:R_Q0Jd5lCBrQu5Dm9,3,4.57661,0.46928,0.500354432,121,21.1151,21,2,21
A103:R_3lJsCIPqfpqRhkf,3,7.24153,0.319464,0.446929469,126,20.2438,20,2,21
A1046:R_2PyWOmUGyUGZUEJ,3,6.78757,0.21718,0.5432276,356,20.2877,20,2,21
