planning depth,feature drop rate,heuristic quality,elo,ExactAge,FlooredAge,ageBinNr,ageBinValue,subject
1.830062,0.231294,0.463060855,66,13.3507,13,1,15,187:R_3oHOHstFKN4HiLA
3.939236,0.326014,0.529946068,141,14.8329,14,1,15,192:R_1LeQOpZ9pat1k7D
1.7768238,0.373398,0.458331901,144,9.3014,9,0,10,194:R_24rdiskqYQc7BsO
2.03176458,0.337512,0.53586132,-178,11.5205,11,0,10,196:R_0voL9dLPRpILrS9
0.794017098,0.467652,0.468845397,-180,11.189,11,0,10,197:R_bqny5leXGykyp0t
6.704514,0.247888,0.580282539,222,14.6658,14,1,15,199:R_D1Afhly6eOCY66B
3.322138,0.39604,0.490526391,58,9.0301,9,0,10,200:R_1NCzjmN3Hl5r3HF
4.51770888,0.391708,0.510049388,115,12.6082,12,0,10,201:R_3kzZPXnjFGbpt30
3.250506,0.377024,0.504196154,40,13.2877,13,1,15,202:R_2OHMsGSLXJZG0Bc
5.93275374,0.090742003,0.139199125,-91,9.9068,9,0,10,208:R_2AST2XkjQUqflkc
8.559386,0.549934,0.434131338,95,12.5014,12,0,10,209:R_1esokoelkIOTy89
0.868822,0.206608,0.490856576,191,9.0082,9,0,10,212:R_OOl4OrOpRgbrLBD
3.4910512,0.50324,0.514523096,-66,12.874,12,0,10,215:R_32R47f1GRrLhRdX
3.070879652,0.24522,0.505672494,139,15.2603,15,1,15,216:R_21j62EoiJ63yEJ5
3.06885,0.358656,0.55731579,59,14.2822,14,1,15,217:R_1JPc2llYzw1ezqs
4.02731,0.188292,0.566595806,98,9.0137,9,0,10,221:R_2wvlbfkxX6e4M29
4.614398,0.31246,0.540811715,163,12.0767,12,0,10,226:R_2X10rcLujzFpHxv
5.5590154,0.367072056,0.432057307,101,15.463,15,1,15,227:R_2qlLx30lmNEXUJL
1.4761382,0.42971,0.25645771,-85,16.8575,16,1,15,228:R_ULyuWg2JwZBuGiJ
4.406975648,0.233114,0.531283195,281,11.5014,11,0,10,229:R_3KxYOzYEKloODvs
5.946204,0.292858,0.521904666,164,11.3616,11,0,10,230:R_28G5rUmynDONqbJ
4.304818,0.321608,0.376528009,171,13.9452,13,1,15,231:R_2QRpawEy8w6txvN
4.1507682,0.348704,0.607741015,124,15.2274,15,1,15,242:R_12lQaNUgCpqQizh
2.754082,0.307416,0.521939465,94,9.926,9,0,10,245:R_eINRkRhqhKHRjzz
1.016413714,0.23041,0.502426229,201,15.6055,15,1,15,248:R_1Do3QQWN7pWkPwQ
3.296146,0.1669672,0.539355199,104,14.3808,14,1,15,249:R_d1i4xMt2Vzivxg5
6.042592,0.207971,0.588284383,27,17.2055,17,1,15,250:R_r2BwOdT2hnmQ5WN
5.64921,0.353612,0.50697173,139,17.7205,17,1,15,256:R_10BfVTQovUcZioM
1.12118848,0.402696,0.439717521,-68,9.8685,9,0,10,262:R_30idhiqurUAv63D
1.925379504,0.273752,0.428586174,2,9.7123,9,0,10,269:R_2zC5iAXvVOKLmh6
5.961384,0.22727,0.627286727,153,17.1945,17,1,15,273:R_2zuodaGDxpO8dfe
6.323702,0.1435912,0.543196676,195,17.4411,17,1,15,281:R_NVGtaI93MLLVQfT
3.35571814,1.24E-05,0.046591444,115,17.0904,17,1,15,290:R_25zHKt5eqk2Fr1k
