,subject,fold,1,2,3,4,5,6,7,8,9,10
43,149:R_shhEOP9BPIFkz97,4,1.8888,0.0029206,0.22292,0.068174,0.63057,0.93917,0.74685,0.57536,3.2875,9.0628
44,149:R_shhEOP9BPIFkz97,5,5.7087,0.0018541,0.41177,0.059482,0.51363,1.1833,0.8299,1.0926,4.172,8.4342
45,150:R_3ilNhJufw9u0JJr,1,3.9655,0.0072278,0.46993,0.057407,1.0455,0.72171,0.87325,-1.1286,4.2489,9.9972
46,150:R_3ilNhJufw9u0JJr,2,9.7743,0.0010565,0.74699,0.055663,0.96085,0.97993,4.6535,-6.0493,9.819,7.7532
47,150:R_3ilNhJufw9u0JJr,3,3.866,0.001,0.2951,0.050161,0.75381,0.68939,0.84021,-0.38849,3.0679,10
48,150:R_3ilNhJufw9u0JJr,4,2.7774,0.0012674,0.4913,0.055814,0.68022,0.75463,1.6072,-1.6608,3.9,9.9617
49,150:R_3ilNhJufw9u0JJr,5,1.0153,0.012855,0.50439,0.050001,0.66461,0.7988,1.4118,-0.39185,3.58,9.972
50,152:R_XEQd4AtPvWuAWnT,1,1.8658,0.049573,0.24911,0.097137,0.89253,0.8914,0.98984,-0.68465,3.8264,9.5866
51,152:R_XEQd4AtPvWuAWnT,2,1.5682,0.043054,0.4049,0.079768,1.2626,1.0815,1.1318,-1.0485,3.9191,9.7968
52,152:R_XEQd4AtPvWuAWnT,3,2.1798,0.30121,0.43319,0.050127,0.96201,1.0731,1.3399,0.024273,4.6284,9.935
53,152:R_XEQd4AtPvWuAWnT,4,1.3469,0.081076,0.18333,0.056214,0.99838,1.0055,0.82619,-0.28905,3.1133,9.777
54,152:R_XEQd4AtPvWuAWnT,5,2.1675,0.0082814,0.40854,0.050262,1.0688,1.0207,1.2025,-0.26091,4.1104,9.9169
55,156:R_2TTetTXWqRwQOGb,1,3.6706,0.87313,0.30851,0.059904,1.0702,0.38686,0.82825,-0.14289,4.2482,9.9919
56,156:R_2TTetTXWqRwQOGb,2,1.2244,0.098976,0.37263,0.055075,1.1314,0.66622,1.0768,-1.065,3.9569,9.106
57,156:R_2TTetTXWqRwQOGb,3,4.1048,0.56755,0.32067,0.053565,1.1961,0.74547,1.3088,-0.43563,4.8778,9.9864
58,156:R_2TTetTXWqRwQOGb,4,0.87728,0.044407,0.52275,0.050192,1.6011,0.42914,1.3984,-0.67534,4.6117,9.9969
59,156:R_2TTetTXWqRwQOGb,5,0.2852,0.19881,0.38217,0.052535,0.91341,0.49105,1.041,-5.5179,4.5704,9.9203
60,166:R_9Nac2hjg6u7BlS1,1,4.158,0.0093385,0.49319,0.05,0.87698,0.37451,0.98479,-0.44469,4.221,10
61,166:R_9Nac2hjg6u7BlS1,2,3.0057,0.0077283,0.51666,0.06138,0.53547,0.015692,1.9311,-1.401,5.6658,9.1314
62,166:R_9Nac2hjg6u7BlS1,3,4.0157,0.042034,0.25111,0.062751,0.67432,-0.0022334,0.82149,-0.14052,3.358,9.9875
63,166:R_9Nac2hjg6u7BlS1,4,2.342,0.021242,0.26208,0.051858,0.78091,0.43547,0.82185,0.096724,2.9065,9.0313
64,166:R_9Nac2hjg6u7BlS1,5,1.5934,0.022574,0.2285,0.052312,0.42968,0.20144,0.97221,-0.66568,2.9267,9.2182
65,171:R_1Qck2ykGDls2DLz,1,6.1809,0.001,0.48631,0.083479,0.44685,0.26729,2.9247,-3.5438,4.227,9.6372
66,171:R_1Qck2ykGDls2DLz,2,2.4318,0.010227,0.18973,0.050607,0.25652,0.64352,1.4724,0.12517,3.6126,9.9376
67,171:R_1Qck2ykGDls2DLz,3,1.9989,0.63209,0.19995,0.05,0.4502,0.80078,1.001,0.40039,3.501,10
68,171:R_1Qck2ykGDls2DLz,4,5.2205,0.018786,0.44312,0.055172,0.38226,0.80777,1.3593,0.014619,5.1576,9.9932
69,171:R_1Qck2ykGDls2DLz,5,2.7944,0.014508,0.21216,0.055699,0.26196,0.37598,0.6543,-0.19531,2.3877,9.3311
70,175:R_2vjnTMhG0Bpa7wq,1,1.0696,0.012556,0.25317,0.066285,0.67707,0.75197,0.87661,0.23982,4.0681,9.8849
71,175:R_2vjnTMhG0Bpa7wq,2,2.489,0.015241,0.16642,0.064043,0.77661,0.90902,0.9971,0.67264,4.1067,9.9094
72,175:R_2vjnTMhG0Bpa7wq,3,9.9605,0.99592,0.37009,0.050238,0.66133,0.84851,1.9676,1.1304,8.0662,9.8416
73,175:R_2vjnTMhG0Bpa7wq,4,1.5482,0.025531,0.29936,0.071626,1.0566,0.74092,1.0236,0.092065,4.3722,9.5404
74,175:R_2vjnTMhG0Bpa7wq,5,6.0633,0.0046046,0.24121,0.052305,0.76915,0.79934,1.016,0.45916,3.5585,10
75,179:R_2xV1IwgJyplwuvp,1,1.8907,0.2985,0.51195,0.16211,1.0258,0.47211,1.5286,-0.77271,3.7479,9.993
76,179:R_2xV1IwgJyplwuvp,2,1.1132,0.022295,0.39608,0.094758,0.97518,0.05857,0.92679,-5.2274,3.2676,9.88
77,179:R_2xV1IwgJyplwuvp,3,9.9871,0.98841,0.75021,0.22849,0.60502,0.37513,3.6382,1.7056,8.172,6.7736
78,179:R_2xV1IwgJyplwuvp,4,0.12025,0.099216,0,0.051022,1.7935,-9.707,-10,9.2627,-6.7871,-9.873
79,179:R_2xV1IwgJyplwuvp,5,6.7272,0.96188,0.67142,0.073811,1.2047,0.40051,1.2853,-2.6598,3.5987,4.6417
80,180:R_1OGFPUUh0z8rWBh,1,0.45198,0.056087,0.66951,0.077544,1.6763,0.47905,1.789,-1.7808,5.6106,9.8636
81,180:R_1OGFPUUh0z8rWBh,2,9.9964,0.99157,0.56736,0.1237,3.3379,0.36164,1.2107,-0.14986,5.357,9.3199
82,180:R_1OGFPUUh0z8rWBh,3,0.10428,0.87498,0.4206,0.052064,1.1952,0.052836,0.85645,-0.25951,4.5562,9.7058
83,180:R_1OGFPUUh0z8rWBh,4,0.90862,0.15444,0.4559,0.067967,1.5556,0.29684,1.0603,-1.7553,4.4966,9.4354
84,180:R_1OGFPUUh0z8rWBh,5,1.9874,0.26149,0.56968,0.099064,1.4818,0.27849,1.6618,-0.50296,6.0237,9.9997
85,181:R_3fDgQlApbcv1n4e,1,9.8226,0.99964,0.64693,0.050112,1.6977,0.6287,1.4325,0.80872,6.427,9.9984
86,181:R_3fDgQlApbcv1n4e,2,0.2925,0.12915,0.26976,0.069606,1.3144,0.66215,0.70519,0.17502,3.6255,10
87,181:R_3fDgQlApbcv1n4e,3,9.9818,0.99964,0.32305,0.059307,1.0811,0.4021,1.1086,0.62493,4.6991,9.9983
88,181:R_3fDgQlApbcv1n4e,4,8.5955,0.60357,0.24856,0.050008,1.5612,0.69806,1.0125,0.22975,4.9868,9.9854
89,181:R_3fDgQlApbcv1n4e,5,9.8887,0.99965,0.55332,0.050021,1.2671,0.60169,1.2127,0.63492,5.2526,8.473
90,182:R_3NEgCFlK1BFSmdZ,1,0.1,0.014538,0.23253,0.050001,1.4665,0.078995,0.95545,0.031279,2.9851,9.9496
91,182:R_3NEgCFlK1BFSmdZ,2,0.23897,0.0021076,0.26538,0.050527,1.3819,0.074144,1.1585,0.24352,3.1285,9.8973
92,182:R_3NEgCFlK1BFSmdZ,3,0.19445,0.21093,0.20033,0.051021,1.4179,0.12354,1.0858,0.36492,3.4706,9.7574
93,182:R_3NEgCFlK1BFSmdZ,4,0.11283,0.018775,0.2172,0.050563,1.3223,0.05185,0.95196,-0.0016618,3.336,10
94,182:R_3NEgCFlK1BFSmdZ,5,0.33485,0.23389,0.33587,0.050321,1.3665,-0.060945,1.238,-0.05062,4.1303,9.4167
95,183:R_2uPQbPniskmS0Ep,1,0.1,0.053534,0.31474,0.050283,1.3499,0.39208,0.97274,-0.32838,4.4151,9.4695
96,183:R_2uPQbPniskmS0Ep,2,9.9871,0.98821,0.48641,0.050237,1.018,0.13956,1.7989,-3.6588,6.1984,9.9389
97,183:R_2uPQbPniskmS0Ep,3,9.1033,0.88777,0.34438,0.050005,0.86138,0.22571,1.2091,-1.1535,5.3642,9.6126
98,183:R_2uPQbPniskmS0Ep,4,10,0.9996,0.44047,0.051778,1.1023,0.34019,1.2097,-0.12282,4.1946,7.9935
99,183:R_2uPQbPniskmS0Ep,5,0.10098,0.90413,0.40666,0.050501,1.0439,0.2176,1.2263,-0.61853,4.3936,9.9999
100,187:R_3oHOHstFKN4HiLA,1,0.77078,0.001,0.20557,0.098224,1.2254,-0.3897,1.1413,0.15422,3.851,9.9677
101,187:R_3oHOHstFKN4HiLA,2,1.995,0.047435,0.28614,0.063644,0.9782,-0.95943,1.6213,-0.74388,6.8456,9.716
102,187:R_3oHOHstFKN4HiLA,3,10,0.0077334,0.20903,0.051344,0.64138,-0.87785,1.3968,-3.2358,5.6888,9.4917
103,187:R_3oHOHstFKN4HiLA,4,1.0997,0.99635,0.29565,0.050422,1.1284,-0.8099,1.6151,-0.0036058,5.8687,9.9831
104,187:R_3oHOHstFKN4HiLA,5,1.391,0.038909,0.29149,0.050296,1.1529,-0.21272,1.109,-0.21033,4.4401,9.9003
105,192:R_1LeQOpZ9pat1k7D,1,1.8668,0.010578,0.24934,0.054909,0.90557,0.8306,0.40018,0.5666,3.1428,9.6577
106,192:R_1LeQOpZ9pat1k7D,2,2.5044,0.0019283,0.1753,0.062825,0.75509,0.7309,0.49518,0.79798,3.4514,9.0197
107,192:R_1LeQOpZ9pat1k7D,3,6.5154,0.0013249,0.66867,0.050019,1.7853,0.73543,0.90729,1.0475,5.8645,6.978
108,192:R_1LeQOpZ9pat1k7D,4,3.4725,0.0071214,0.22838,0.051474,0.69579,0.63648,0.33586,0.74841,5.0166,9.8073
109,192:R_1LeQOpZ9pat1k7D,5,1.1582,0.026651,0.47882,0.14502,0.95798,0.91086,0.77266,1.6075,3.7032,9.9999
110,194:R_24rdiskqYQc7BsO,1,0.82522,0.93273,0.33202,0.058071,1.2075,0.84039,0.67264,-0.17054,4.9137,9.9702
111,194:R_24rdiskqYQc7BsO,2,7.7754,0.53948,0.435,0.051418,2.2859,1.0345,0.69034,0.03732,6.3946,9.9705
112,194:R_24rdiskqYQc7BsO,3,0.88746,0.89739,0.2798,0.058679,1.4751,0.62913,0.73867,0.26696,3.8023,9.7552
113,194:R_24rdiskqYQc7BsO,4,0.43257,0.44458,0.44455,0.053433,1.5941,0.91386,0.59712,-0.078518,3.9447,9.9537
114,194:R_24rdiskqYQc7BsO,5,1.0491,0.18363,0.41892,0.050374,1.7708,0.81924,0.83998,0.00044478,4.518,9.9624
115,196:R_0voL9dLPRpILrS9,1,2.2348,0.55185,0.37839,0.15609,0.36319,1.2446,1.1155,1.1665,6.4628,9.9883
116,196:R_0voL9dLPRpILrS9,2,1.7453,0.0035853,0.078736,0.12067,0.25564,0.54381,0.43531,0.15356,3.0194,9.9959
