,subject,fold,1,2,3,4,5,6,7,8,9,10
43,149:R_shhEOP9BPIFkz97,4,9.228,0.99883,0.2539,0.073297,0.47086,1.1888,1.2564,1.4571,5.8789,9.9998
44,149:R_shhEOP9BPIFkz97,5,0.99916,0.023431,0.45962,0.052242,0.62136,1.1496,0.96403,1.4454,4.1233,9.7567
45,150:R_3ilNhJufw9u0JJr,1,3.1694,0.017422,0.36768,0.058408,1.0522,0.80811,1.0828,0.13672,3.9539,9.9463
46,150:R_3ilNhJufw9u0JJr,2,2.7165,0.0010255,0.38972,0.086582,0.31506,0.85123,1.1183,-0.53216,3.742,9.591
47,150:R_3ilNhJufw9u0JJr,3,2.1025,0.0010246,0.4151,0.05,0.63255,0.76431,0.77272,0.085049,3.6657,9.8703
48,150:R_3ilNhJufw9u0JJr,4,2.3361,0.004397,0.33319,0.072806,0.66538,0.82741,1.3397,0.52738,3.6835,9.9997
49,150:R_3ilNhJufw9u0JJr,5,9.8992,0.0039183,0.59411,0.050376,1.0401,0.87722,2.1622,-1.3197,7.9161,6.6677
50,152:R_XEQd4AtPvWuAWnT,1,1.8771,0.022308,0.41656,0.05854,0.9392,0.91997,1.2184,-0.79564,4.089,8.8326
51,152:R_XEQd4AtPvWuAWnT,2,1.1652,0.023541,0.40994,0.050731,0.89165,0.84177,1.1552,0.16373,4.1393,9.7751
52,152:R_XEQd4AtPvWuAWnT,3,2.2855,0.013721,0.30437,0.061481,1.0205,1.1832,1.1058,-0.073016,4.0864,9.9556
53,152:R_XEQd4AtPvWuAWnT,4,1.3594,0.035701,0.37432,0.050066,0.92079,0.89685,0.88598,-0.27193,3.579,8.7369
54,152:R_XEQd4AtPvWuAWnT,5,2.0034,0.036558,0.3642,0.060006,1.1129,1.0559,1.1694,-0.3186,4.0637,10
55,156:R_2TTetTXWqRwQOGb,1,0.38365,0.38862,0.5076,0.12969,1.0856,0.68507,1.1848,-1.4174,4.2061,9.4257
56,156:R_2TTetTXWqRwQOGb,2,0.58267,0.31084,0.39098,0.10623,1.361,0.57281,0.98614,-0.97231,3.9012,9.7016
