FlooredAge,subjectNr,gameNumber,category,level,user_color,outcome,count,win
21.0,A101,0,2.0,1,black,1.0,1.0,1.0
21.0,A101,1,2.0,17,white,1.0,1.0,1.0
21.0,A101,0,3.0,12,black,1.0,1.0,1.0
21.0,A101,1,3.0,22,white,1.0,1.0,1.0
21.0,A101,2,4.0,34,black,1.0,1.0,1.0
21.0,A101,3,5.0,45,white,1.0,1.0,1.0
21.0,A101,4,6.0,55,black,1.0,1.0,1.0
21.0,A101,5,7.0,66,white,1.0,1.0,1.0
21.0,A101,6,8.0,77,black,1.0,1.0,1.0
21.0,A101,7,9.0,86,white,1.0,1.0,1.0
21.0,A101,8,10.0,89,black,-1.0,1.0,0.0
21.0,A101,9,9.0,85,white,1.0,1.0,1.0
21.0,A101,10,9.0,85,black,-1.0,1.0,0.0
21.0,A101,11,8.0,75,white,1.0,1.0,1.0
21.0,A101,12,8.0,78,black,1.0,1.0,1.0
21.0,A101,13,9.0,87,white,1.0,1.0,1.0
21.0,A101,14,10.0,90,black,1.0,1.0,1.0
21.0,A101,15,11.0,109,white,1.0,1.0,1.0
21.0,A101,16,12.0,118,black,-1.0,1.0,0.0
21.0,A101,17,11.0,103,white,-1.0,1.0,0.0
21.0,A101,18,10.0,92,black,1.0,1.0,1.0
21.0,A101,19,10.0,89,white,-1.0,1.0,0.0
21.0,A101,20,9.0,80,black,1.0,1.0,1.0
21.0,A101,21,9.0,88,white,1.0,1.0,1.0
21.0,A101,22,10.0,89,black,1.0,1.0,1.0
21.0,A101,23,11.0,101,white,-1.0,1.0,0.0
21.0,A101,24,10.0,95,black,1.0,1.0,1.0
21.0,A101,25,10.0,97,white,1.0,1.0,1.0
21.0,A101,26,11.0,104,black,1.0,1.0,1.0
21.0,A101,27,12.0,113,white,-1.0,1.0,0.0
21.0,A101,28,11.0,107,black,1.0,1.0,1.0
21.0,A101,29,11.0,103,white,-1.0,1.0,0.0
21.0,A101,30,10.0,96,black,1.0,1.0,1.0
21.0,A101,31,10.0,93,white,1.0,1.0,1.0
21.0,A101,32,11.0,102,black,1.0,1.0,1.0
21.0,A101,33,12.0,119,white,-1.0,1.0,0.0
21.0,A101,34,11.0,100,black,1.0,1.0,1.0
20.0,A103,0,2.0,1,black,1.0,1.0,1.0
20.0,A103,1,2.0,14,white,1.0,1.0,1.0
20.0,A103,0,3.0,12,black,1.0,1.0,1.0
20.0,A103,1,3.0,28,white,0.0,1.0,0.0
20.0,A103,2,3.0,28,black,1.0,1.0,1.0
20.0,A103,3,3.0,20,white,1.0,1.0,1.0
20.0,A103,4,4.0,35,black,1.0,1.0,1.0
20.0,A103,5,5.0,43,white,1.0,1.0,1.0
20.0,A103,6,6.0,55,black,1.0,1.0,1.0
20.0,A103,7,7.0,64,white,1.0,1.0,1.0
20.0,A103,8,8.0,74,black,1.0,1.0,1.0
20.0,A103,9,9.0,86,white,1.0,1.0,1.0
20.0,A103,10,10.0,92,black,1.0,1.0,1.0
20.0,A103,11,11.0,104,white,1.0,1.0,1.0
20.0,A103,12,12.0,112,black,-1.0,1.0,0.0
20.0,A103,13,11.0,102,white,-1.0,1.0,0.0
20.0,A103,14,10.0,99,black,1.0,1.0,1.0
20.0,A103,15,10.0,93,white,1.0,1.0,1.0
20.0,A103,16,11.0,109,black,1.0,1.0,1.0
20.0,A103,17,12.0,118,white,1.0,1.0,1.0
20.0,A103,18,13.0,125,black,1.0,1.0,1.0
20.0,A103,19,14.0,131,white,-1.0,1.0,0.0
20.0,A103,20,13.0,121,black,-1.0,1.0,0.0
20.0,A103,21,12.0,115,white,1.0,1.0,1.0
20.0,A103,22,12.0,118,black,1.0,1.0,1.0
20.0,A103,23,13.0,128,white,-1.0,1.0,0.0
20.0,A103,24,12.0,111,black,-1.0,1.0,0.0
20.0,A103,25,11.0,105,white,1.0,1.0,1.0
20.0,A103,26,11.0,104,black,1.0,1.0,1.0
20.0,A103,27,12.0,113,white,-1.0,1.0,0.0
20.0,A103,28,11.0,99,black,1.0,1.0,1.0
20.0,A103,29,11.0,102,white,1.0,1.0,1.0
20.0,A103,30,12.0,110,black,-1.0,1.0,0.0
20.0,A103,31,11.0,99,white,-1.0,1.0,0.0
20.0,A103,32,10.0,91,black,1.0,1.0,1.0
20.0,A103,33,10.0,96,white,1.0,1.0,1.0
20.0,A103,34,11.0,104,black,1.0,1.0,1.0
19.0,A112,0,2.0,1,black,1.0,1.0,1.0
19.0,A112,1,2.0,11,white,1.0,1.0,1.0
19.0,A112,0,3.0,14,black,1.0,1.0,1.0
19.0,A112,1,3.0,28,white,1.0,1.0,1.0
19.0,A112,2,4.0,31,black,1.0,1.0,1.0
19.0,A112,3,5.0,42,white,1.0,1.0,1.0
19.0,A112,4,6.0,55,black,1.0,1.0,1.0
19.0,A112,5,7.0,59,white,1.0,1.0,1.0
19.0,A112,6,8.0,79,black,1.0,1.0,1.0
19.0,A112,7,9.0,82,white,1.0,1.0,1.0
19.0,A112,8,10.0,91,black,1.0,1.0,1.0
19.0,A112,9,11.0,104,white,1.0,1.0,1.0
19.0,A112,10,12.0,114,black,1.0,1.0,1.0
19.0,A112,11,13.0,126,white,1.0,1.0,1.0
