FlooredAge,subjectNr,gameNumber,category,level,user_color,outcome,count,win
19.0,A112,12,14.0,129,black,-1.0,1.0,0.0
19.0,A112,13,13.0,129,white,-1.0,1.0,0.0
19.0,A112,14,12.0,112,black,1.0,1.0,1.0
19.0,A112,15,12.0,114,white,1.0,1.0,1.0
19.0,A112,16,13.0,121,black,1.0,1.0,1.0
19.0,A112,17,14.0,130,white,-1.0,1.0,0.0
19.0,A112,18,13.0,126,black,-1.0,1.0,0.0
19.0,A112,19,12.0,116,white,1.0,1.0,1.0
19.0,A112,20,12.0,118,black,1.0,1.0,1.0
19.0,A112,21,13.0,119,white,1.0,1.0,1.0
19.0,A112,22,14.0,135,black,1.0,1.0,1.0
19.0,A112,23,15.0,145,white,-1.0,1.0,0.0
19.0,A112,24,14.0,130,black,1.0,1.0,1.0
19.0,A112,25,14.0,132,white,1.0,1.0,1.0
19.0,A112,26,15.0,144,black,1.0,1.0,1.0
19.0,A112,27,16.0,156,white,-1.0,1.0,0.0
19.0,A112,28,15.0,147,black,1.0,1.0,1.0
19.0,A112,29,15.0,144,white,-1.0,1.0,0.0
19.0,A112,30,14.0,131,black,1.0,1.0,1.0
19.0,A112,31,14.0,136,white,1.0,1.0,1.0
19.0,A112,32,15.0,142,black,1.0,1.0,1.0
19.0,A112,33,16.0,154,white,1.0,1.0,1.0
19.0,A112,34,17.0,159,black,-1.0,1.0,0.0
19.0,A121,0,2.0,1,black,1.0,1.0,1.0
19.0,A121,1,2.0,11,white,1.0,1.0,1.0
19.0,A121,0,3.0,12,black,1.0,1.0,1.0
19.0,A121,1,3.0,23,white,1.0,1.0,1.0
19.0,A121,2,4.0,31,black,1.0,1.0,1.0
19.0,A121,3,5.0,44,white,1.0,1.0,1.0
19.0,A121,4,6.0,50,black,1.0,1.0,1.0
19.0,A121,5,7.0,63,white,1.0,1.0,1.0
19.0,A121,6,8.0,76,black,1.0,1.0,1.0
19.0,A121,7,9.0,82,white,-1.0,1.0,0.0
19.0,A121,8,8.0,77,black,-1.0,1.0,0.0
19.0,A121,9,7.0,62,white,-1.0,1.0,0.0
19.0,A121,10,6.0,50,black,1.0,1.0,1.0
19.0,A121,11,6.0,53,white,1.0,1.0,1.0
19.0,A121,12,7.0,63,black,1.0,1.0,1.0
19.0,A121,13,8.0,70,white,1.0,1.0,1.0
19.0,A121,14,9.0,88,black,-1.0,1.0,0.0
19.0,A121,15,8.0,77,white,1.0,1.0,1.0
19.0,A121,16,8.0,72,black,1.0,1.0,1.0
19.0,A121,17,9.0,86,white,-1.0,1.0,0.0
19.0,A121,18,8.0,73,black,1.0,1.0,1.0
19.0,A121,19,8.0,77,white,1.0,1.0,1.0
19.0,A121,20,9.0,81,black,1.0,1.0,1.0
19.0,A121,21,10.0,90,white,1.0,1.0,1.0
19.0,A121,22,11.0,100,black,-1.0,1.0,0.0
19.0,A121,23,10.0,92,white,1.0,1.0,1.0
19.0,A121,24,10.0,94,black,1.0,1.0,1.0
19.0,A121,25,11.0,99,white,1.0,1.0,1.0
19.0,A121,26,12.0,110,black,1.0,1.0,1.0
19.0,A121,27,13.0,122,white,1.0,1.0,1.0
19.0,A121,28,14.0,134,black,1.0,1.0,1.0
19.0,A121,29,15.0,146,white,1.0,1.0,1.0
19.0,A121,30,16.0,153,black,1.0,1.0,1.0
19.0,A121,31,17.0,168,white,-1.0,1.0,0.0
19.0,A121,32,16.0,149,black,1.0,1.0,1.0
19.0,A121,33,16.0,158,white,-1.0,1.0,0.0
19.0,A121,34,15.0,139,black,-1.0,1.0,0.0
23.0,A1083,0,2.0,1,black,1.0,1.0,1.0
23.0,A1083,1,2.0,16,white,1.0,1.0,1.0
23.0,A1083,0,3.0,14,black,1.0,1.0,1.0
23.0,A1083,1,3.0,27,white,1.0,1.0,1.0
23.0,A1083,2,4.0,34,black,1.0,1.0,1.0
23.0,A1083,3,5.0,43,white,1.0,1.0,1.0
23.0,A1083,4,6.0,57,black,1.0,1.0,1.0
23.0,A1083,5,7.0,65,white,1.0,1.0,1.0
23.0,A1083,6,8.0,75,black,1.0,1.0,1.0
23.0,A1083,7,9.0,84,white,1.0,1.0,1.0
23.0,A1083,8,10.0,97,black,1.0,1.0,1.0
23.0,A1083,9,11.0,108,white,1.0,1.0,1.0
23.0,A1083,10,12.0,114,black,0.0,1.0,0.0
23.0,A1083,11,12.0,119,white,1.0,1.0,1.0
23.0,A1083,12,12.0,118,black,1.0,1.0,1.0
23.0,A1083,13,13.0,123,white,-1.0,1.0,0.0
23.0,A1083,14,12.0,118,black,1.0,1.0,1.0
23.0,A1083,15,12.0,117,white,-1.0,1.0,0.0
23.0,A1083,16,11.0,99,black,1.0,1.0,1.0
23.0,A1083,17,11.0,101,white,-1.0,1.0,0.0
23.0,A1083,18,10.0,89,black,1.0,1.0,1.0
23.0,A1083,19,10.0,99,white,1.0,1.0,1.0
23.0,A1083,20,11.0,106,black,1.0,1.0,1.0
23.0,A1083,21,12.0,110,white,1.0,1.0,1.0
23.0,A1083,22,13.0,126,black,1.0,1.0,1.0
23.0,A1083,23,14.0,129,white,-1.0,1.0,0.0
23.0,A1083,24,13.0,119,black,1.0,1.0,1.0
23.0,A1083,25,13.0,127,white,-1.0,1.0,0.0
23.0,A1083,26,12.0,112,black,1.0,1.0,1.0
23.0,A1083,27,12.0,113,white,1.0,1.0,1.0
23.0,A1083,28,13.0,128,black,1.0,1.0,1.0
23.0,A1083,29,14.0,138,white,1.0,1.0,1.0
23.0,A1083,30,15.0,146,black,-1.0,1.0,0.0
23.0,A1083,31,14.0,129,white,-1.0,1.0,0.0
23.0,A1083,32,13.0,122,black,-1.0,1.0,0.0
23.0,A1083,33,12.0,118,white,1.0,1.0,1.0
23.0,A1083,34,12.0,110,black,1.0,1.0,1.0
22.0,A130,0,2.0,1,black,1.0,1.0,1.0
22.0,A130,1,2.0,16,white,1.0,1.0,1.0
22.0,A130,0,3.0,16,black,1.0,1.0,1.0
22.0,A130,1,3.0,29,white,1.0,1.0,1.0
22.0,A130,2,4.0,29,black,1.0,1.0,1.0
22.0,A130,3,5.0,47,white,1.0,1.0,1.0
22.0,A130,4,6.0,52,black,1.0,1.0,1.0
22.0,A130,5,7.0,69,white,1.0,1.0,1.0
22.0,A130,6,8.0,72,black,1.0,1.0,1.0
22.0,A130,7,9.0,83,white,1.0,1.0,1.0
22.0,A130,8,10.0,95,black,1.0,1.0,1.0
22.0,A130,9,11.0,107,white,-1.0,1.0,0.0
22.0,A130,10,10.0,95,black,1.0,1.0,1.0
22.0,A130,11,10.0,99,white,1.0,1.0,1.0
22.0,A130,12,11.0,102,black,1.0,1.0,1.0
22.0,A130,13,12.0,114,white,1.0,1.0,1.0
22.0,A130,14,13.0,126,black,1.0,1.0,1.0
22.0,A130,15,14.0,137,white,1.0,1.0,1.0
22.0,A130,16,15.0,145,black,1.0,1.0,1.0
22.0,A130,17,16.0,155,white,-1.0,1.0,0.0
22.0,A130,18,15.0,147,black,-1.0,1.0,0.0
22.0,A130,19,14.0,136,white,-1.0,1.0,0.0
22.0,A130,20,13.0,121,black,1.0,1.0,1.0
22.0,A130,21,13.0,124,white,1.0,1.0,1.0
22.0,A130,22,14.0,137,black,-1.0,1.0,0.0
22.0,A130,23,13.0,121,white,1.0,1.0,1.0
22.0,A130,24,13.0,121,black,1.0,1.0,1.0
22.0,A130,25,14.0,134,white,1.0,1.0,1.0
22.0,A130,26,15.0,140,black,1.0,1.0,1.0
22.0,A130,27,16.0,156,white,-1.0,1.0,0.0
22.0,A130,28,15.0,142,black,1.0,1.0,1.0
22.0,A130,29,15.0,142,white,-1.0,1.0,0.0
22.0,A130,30,14.0,130,black,1.0,1.0,1.0
22.0,A130,31,14.0,138,white,-1.0,1.0,0.0
22.0,A130,32,13.0,122,black,1.0,1.0,1.0
22.0,A130,33,13.0,126,white,-1.0,1.0,0.0
22.0,A130,34,12.0,109,black,1.0,1.0,1.0
21.0,A1144,0,2.0,1,black,1.0,1.0,1.0
21.0,A1144,1,2.0,10,white,1.0,1.0,1.0
21.0,A1144,0,3.0,15,black,1.0,1.0,1.0
21.0,A1144,1,3.0,23,white,1.0,1.0,1.0
21.0,A1144,2,4.0,37,black,1.0,1.0,1.0
21.0,A1144,3,5.0,40,white,1.0,1.0,1.0
21.0,A1144,4,6.0,55,black,1.0,1.0,1.0
21.0,A1144,5,7.0,67,white,1.0,1.0,1.0
21.0,A1144,6,8.0,79,black,1.0,1.0,1.0
21.0,A1144,7,9.0,84,white,-1.0,1.0,0.0
21.0,A1144,8,8.0,74,black,-1.0,1.0,0.0
21.0,A1144,9,7.0,60,white,0.0,1.0,0.0
21.0,A1144,10,7.0,65,black,1.0,1.0,1.0
21.0,A1144,11,7.0,67,white,-1.0,1.0,0.0
21.0,A1144,12,6.0,58,black,1.0,1.0,1.0
21.0,A1144,13,6.0,57,white,1.0,1.0,1.0
21.0,A1144,14,7.0,64,black,1.0,1.0,1.0
21.0,A1144,15,8.0,71,white,-1.0,1.0,0.0
21.0,A1144,16,7.0,67,black,1.0,1.0,1.0
21.0,A1144,17,7.0,67,white,1.0,1.0,1.0
21.0,A1144,18,8.0,78,black,1.0,1.0,1.0
21.0,A1144,19,9.0,89,white,1.0,1.0,1.0
21.0,A1144,20,10.0,92,black,1.0,1.0,1.0
21.0,A1144,21,11.0,105,white,-1.0,1.0,0.0
21.0,A1144,22,10.0,98,black,1.0,1.0,1.0
21.0,A1144,23,10.0,91,white,1.0,1.0,1.0
21.0,A1144,24,11.0,103,black,1.0,1.0,1.0
21.0,A1144,25,12.0,112,white,1.0,1.0,1.0
21.0,A1144,26,13.0,120,black,-1.0,1.0,0.0
21.0,A1144,27,12.0,119,white,-1.0,1.0,0.0
21.0,A1144,28,11.0,105,black,-1.0,1.0,0.0
21.0,A1144,29,10.0,93,white,1.0,1.0,1.0
21.0,A1144,30,10.0,90,black,1.0,1.0,1.0
21.0,A1144,31,11.0,103,white,-1.0,1.0,0.0
21.0,A1144,32,10.0,93,black,-1.0,1.0,0.0
21.0,A1144,33,9.0,82,white,-1.0,1.0,0.0
21.0,A1144,34,8.0,76,black,1.0,1.0,1.0
19.0,A1145,0,2.0,1,black,1.0,1.0,1.0
19.0,A1145,1,2.0,17,white,1.0,1.0,1.0
19.0,A1145,0,3.0,10,black,1.0,1.0,1.0
19.0,A1145,1,3.0,28,white,1.0,1.0,1.0
19.0,A1145,2,4.0,31,black,1.0,1.0,1.0
19.0,A1145,3,5.0,43,white,1.0,1.0,1.0
19.0,A1145,4,6.0,56,black,1.0,1.0,1.0
19.0,A1145,5,7.0,66,white,-1.0,1.0,0.0
19.0,A1145,6,6.0,53,black,0.0,1.0,0.0
19.0,A1145,7,6.0,50,white,1.0,1.0,1.0
19.0,A1145,8,6.0,55,black,1.0,1.0,1.0
19.0,A1145,9,7.0,65,white,0.0,1.0,0.0
19.0,A1145,10,7.0,64,black,1.0,1.0,1.0
19.0,A1145,11,7.0,67,white,1.0,1.0,1.0
19.0,A1145,12,8.0,76,black,1.0,1.0,1.0
19.0,A1145,13,9.0,81,white,1.0,1.0,1.0
19.0,A1145,14,10.0,98,black,1.0,1.0,1.0
19.0,A1145,15,11.0,101,white,1.0,1.0,1.0
19.0,A1145,16,12.0,118,black,1.0,1.0,1.0
19.0,A1145,17,13.0,119,white,1.0,1.0,1.0
19.0,A1145,18,14.0,134,black,1.0,1.0,1.0
19.0,A1145,19,15.0,148,white,1.0,1.0,1.0
19.0,A1145,20,16.0,152,black,1.0,1.0,1.0
19.0,A1145,21,17.0,167,white,-1.0,1.0,0.0
19.0,A1145,22,16.0,158,black,-1.0,1.0,0.0
19.0,A1145,23,15.0,141,white,-1.0,1.0,0.0
19.0,A1145,24,14.0,133,black,1.0,1.0,1.0
19.0,A1145,25,14.0,138,white,-1.0,1.0,0.0
19.0,A1145,26,13.0,124,black,-1.0,1.0,0.0
19.0,A1145,27,12.0,116,white,0.0,1.0,0.0
19.0,A1145,28,12.0,114,black,1.0,1.0,1.0
19.0,A1145,29,12.0,119,white,0.0,1.0,0.0
19.0,A1145,30,12.0,109,black,1.0,1.0,1.0
19.0,A1145,31,12.0,111,white,0.0,1.0,0.0
19.0,A1145,32,12.0,110,black,1.0,1.0,1.0
19.0,A1145,33,12.0,114,white,1.0,1.0,1.0
19.0,A1145,34,13.0,127,black,1.0,1.0,1.0
25.0,A1155,0,2.0,1,black,1.0,1.0,1.0
25.0,A1155,1,2.0,10,white,1.0,1.0,1.0
25.0,A1155,0,3.0,15,black,1.0,1.0,1.0
25.0,A1155,1,3.0,22,white,1.0,1.0,1.0
25.0,A1155,2,4.0,34,black,1.0,1.0,1.0
25.0,A1155,3,5.0,40,white,1.0,1.0,1.0
25.0,A1155,4,6.0,50,black,1.0,1.0,1.0
25.0,A1155,5,7.0,65,white,1.0,1.0,1.0
25.0,A1155,6,8.0,78,black,1.0,1.0,1.0
25.0,A1155,7,9.0,87,white,1.0,1.0,1.0
25.0,A1155,8,10.0,98,black,1.0,1.0,1.0
25.0,A1155,9,11.0,105,white,-1.0,1.0,0.0
25.0,A1155,10,10.0,96,black,1.0,1.0,1.0
25.0,A1155,11,10.0,94,white,-1.0,1.0,0.0
25.0,A1155,12,9.0,79,black,-1.0,1.0,0.0
25.0,A1155,13,8.0,74,white,1.0,1.0,1.0
25.0,A1155,14,8.0,76,black,1.0,1.0,1.0
25.0,A1155,15,9.0,84,white,-1.0,1.0,0.0
25.0,A1155,16,8.0,71,black,1.0,1.0,1.0
25.0,A1155,17,8.0,71,white,-1.0,1.0,0.0
25.0,A1155,18,7.0,64,black,1.0,1.0,1.0
25.0,A1155,19,7.0,67,white,-1.0,1.0,0.0
25.0,A1155,20,6.0,55,black,1.0,1.0,1.0
25.0,A1155,21,6.0,50,white,1.0,1.0,1.0
25.0,A1155,22,7.0,68,black,1.0,1.0,1.0
25.0,A1155,23,8.0,78,white,1.0,1.0,1.0
25.0,A1155,24,9.0,86,black,1.0,1.0,1.0
25.0,A1155,25,10.0,97,white,1.0,1.0,1.0
25.0,A1155,26,11.0,108,black,-1.0,1.0,0.0
25.0,A1155,27,10.0,98,white,1.0,1.0,1.0
25.0,A1155,28,10.0,89,black,1.0,1.0,1.0
25.0,A1155,29,11.0,108,white,1.0,1.0,1.0
25.0,A1155,30,12.0,113,black,-1.0,1.0,0.0
25.0,A1155,31,11.0,102,white,-1.0,1.0,0.0
25.0,A1155,32,10.0,92,black,1.0,1.0,1.0
25.0,A1155,33,10.0,95,white,-1.0,1.0,0.0
25.0,A1155,34,9.0,81,black,1.0,1.0,1.0
24.0,A1157,0,2.0,1,black,1.0,1.0,1.0
24.0,A1157,1,2.0,18,white,1.0,1.0,1.0
24.0,A1157,0,3.0,17,black,1.0,1.0,1.0
24.0,A1157,1,3.0,22,white,1.0,1.0,1.0
24.0,A1157,2,4.0,35,black,1.0,1.0,1.0
24.0,A1157,3,5.0,40,white,1.0,1.0,1.0
24.0,A1157,4,6.0,55,black,1.0,1.0,1.0
24.0,A1157,5,7.0,69,white,-1.0,1.0,0.0
24.0,A1157,6,6.0,50,black,1.0,1.0,1.0
24.0,A1157,7,6.0,53,white,1.0,1.0,1.0
24.0,A1157,8,7.0,63,black,1.0,1.0,1.0
24.0,A1157,9,8.0,79,white,1.0,1.0,1.0
24.0,A1157,10,9.0,82,black,-1.0,1.0,0.0
24.0,A1157,11,8.0,70,white,-1.0,1.0,0.0
24.0,A1157,12,7.0,62,black,1.0,1.0,1.0
24.0,A1157,13,7.0,60,white,1.0,1.0,1.0
24.0,A1157,14,8.0,72,black,1.0,1.0,1.0
24.0,A1157,15,9.0,85,white,1.0,1.0,1.0
24.0,A1157,16,10.0,99,black,1.0,1.0,1.0
24.0,A1157,17,11.0,104,white,1.0,1.0,1.0
24.0,A1157,18,12.0,114,black,-1.0,1.0,0.0
24.0,A1157,19,11.0,101,white,1.0,1.0,1.0
24.0,A1157,20,11.0,105,black,1.0,1.0,1.0
24.0,A1157,21,12.0,109,white,1.0,1.0,1.0
24.0,A1157,22,13.0,120,black,-1.0,1.0,0.0
24.0,A1157,23,12.0,112,white,1.0,1.0,1.0
24.0,A1157,24,12.0,115,black,-1.0,1.0,0.0
24.0,A1157,25,11.0,104,white,-1.0,1.0,0.0
24.0,A1157,26,10.0,90,black,1.0,1.0,1.0
24.0,A1157,27,10.0,96,white,-1.0,1.0,0.0
24.0,A1157,28,9.0,80,black,1.0,1.0,1.0
24.0,A1157,29,9.0,86,white,-1.0,1.0,0.0
24.0,A1157,30,8.0,69,black,1.0,1.0,1.0
24.0,A1157,31,8.0,73,white,1.0,1.0,1.0
24.0,A1157,32,9.0,88,black,-1.0,1.0,0.0
24.0,A1157,33,8.0,71,white,1.0,1.0,1.0
24.0,A1164,0,2.0,1,black,1.0,1.0,1.0
24.0,A1164,1,2.0,17,white,1.0,1.0,1.0
24.0,A1164,0,3.0,19,black,1.0,1.0,1.0
24.0,A1164,1,3.0,22,white,1.0,1.0,1.0
24.0,A1164,2,4.0,38,black,1.0,1.0,1.0
24.0,A1164,3,5.0,41,white,1.0,1.0,1.0
24.0,A1164,4,6.0,51,black,1.0,1.0,1.0
24.0,A1164,5,7.0,68,white,1.0,1.0,1.0
24.0,A1164,6,8.0,70,black,1.0,1.0,1.0
24.0,A1164,7,9.0,82,white,-1.0,1.0,0.0
24.0,A1164,8,8.0,70,black,1.0,1.0,1.0
24.0,A1164,9,8.0,77,white,-1.0,1.0,0.0
24.0,A1164,10,7.0,66,black,1.0,1.0,1.0
24.0,A1164,11,7.0,65,white,1.0,1.0,1.0
24.0,A1164,12,8.0,78,black,1.0,1.0,1.0
24.0,A1164,13,9.0,80,white,1.0,1.0,1.0
24.0,A1164,14,10.0,93,black,-1.0,1.0,0.0
24.0,A1164,15,9.0,87,white,1.0,1.0,1.0
24.0,A1164,16,9.0,83,black,1.0,1.0,1.0
24.0,A1164,17,10.0,95,white,-1.0,1.0,0.0
24.0,A1164,18,9.0,88,black,1.0,1.0,1.0
24.0,A1164,19,9.0,79,white,1.0,1.0,1.0
24.0,A1164,20,10.0,90,black,-1.0,1.0,0.0
24.0,A1164,21,9.0,83,white,1.0,1.0,1.0
24.0,A1164,22,9.0,81,black,1.0,1.0,1.0
24.0,A1164,23,10.0,92,white,-1.0,1.0,0.0
24.0,A1164,24,9.0,87,black,1.0,1.0,1.0
24.0,A1164,25,9.0,82,white,1.0,1.0,1.0
24.0,A1164,26,10.0,94,black,1.0,1.0,1.0
24.0,A1164,27,11.0,106,white,1.0,1.0,1.0
24.0,A1164,28,12.0,110,black,1.0,1.0,1.0
24.0,A1164,29,13.0,127,white,-1.0,1.0,0.0
24.0,A1164,30,12.0,115,black,1.0,1.0,1.0
24.0,A1164,31,12.0,109,white,1.0,1.0,1.0
24.0,A1164,32,13.0,121,black,1.0,1.0,1.0
24.0,A1164,33,14.0,138,white,-1.0,1.0,0.0
24.0,A1164,34,13.0,126,black,1.0,1.0,1.0
25.0,A1169,0,2.0,1,black,-1.0,1.0,0.0
25.0,A1169,1,1.0,8,white,0.0,1.0,0.0
25.0,A1169,0,1.0,17,black,1.0,1.0,1.0
25.0,A1169,1,2.0,11,white,1.0,1.0,1.0
25.0,A1169,2,3.0,29,black,1.0,1.0,1.0
25.0,A1169,3,4.0,33,white,1.0,1.0,1.0
25.0,A1169,4,5.0,49,black,1.0,1.0,1.0
25.0,A1169,5,6.0,59,white,-1.0,1.0,0.0
25.0,A1169,6,5.0,41,black,1.0,1.0,1.0
25.0,A1169,7,5.0,47,white,1.0,1.0,1.0
25.0,A1169,8,6.0,55,black,1.0,1.0,1.0
25.0,A1169,9,7.0,64,white,-1.0,1.0,0.0
25.0,A1169,10,6.0,54,black,1.0,1.0,1.0
25.0,A1169,11,6.0,59,white,1.0,1.0,1.0
25.0,A1169,12,7.0,65,black,-1.0,1.0,0.0
25.0,A1169,13,6.0,51,white,1.0,1.0,1.0
25.0,A1169,14,6.0,51,black,1.0,1.0,1.0
25.0,A1169,15,7.0,69,white,1.0,1.0,1.0
25.0,A1169,16,8.0,79,black,-1.0,1.0,0.0
25.0,A1169,17,7.0,62,white,1.0,1.0,1.0
25.0,A1169,18,7.0,62,black,1.0,1.0,1.0
25.0,A1169,19,8.0,75,white,-1.0,1.0,0.0
25.0,A1169,20,7.0,67,black,-1.0,1.0,0.0
25.0,A1169,21,6.0,57,white,1.0,1.0,1.0
25.0,A1169,22,6.0,55,black,1.0,1.0,1.0
25.0,A1169,23,7.0,67,white,1.0,1.0,1.0
25.0,A1169,24,8.0,73,black,0.0,1.0,0.0
25.0,A1169,25,8.0,78,white,1.0,1.0,1.0
25.0,A1169,26,8.0,75,black,1.0,1.0,1.0
25.0,A1169,27,9.0,82,white,-1.0,1.0,0.0
25.0,A1169,28,8.0,71,black,-1.0,1.0,0.0
25.0,A1169,29,7.0,66,white,-1.0,1.0,0.0
25.0,A1169,30,6.0,57,black,-1.0,1.0,0.0
25.0,A1169,31,5.0,43,white,-1.0,1.0,0.0
25.0,A1169,32,4.0,37,black,1.0,1.0,1.0
25.0,A1169,33,4.0,31,white,1.0,1.0,1.0
25.0,A1169,34,5.0,48,black,1.0,1.0,1.0
22.0,A1176,0,2.0,1,black,1.0,1.0,1.0
22.0,A1176,1,2.0,18,white,1.0,1.0,1.0
22.0,A1176,0,3.0,11,black,1.0,1.0,1.0
22.0,A1176,1,3.0,29,white,1.0,1.0,1.0
22.0,A1176,2,4.0,34,black,1.0,1.0,1.0
22.0,A1176,3,5.0,45,white,1.0,1.0,1.0
22.0,A1176,4,6.0,58,black,1.0,1.0,1.0
22.0,A1176,5,7.0,62,white,1.0,1.0,1.0
22.0,A1176,6,8.0,72,black,1.0,1.0,1.0
22.0,A1176,7,9.0,82,white,1.0,1.0,1.0
22.0,A1176,8,10.0,91,black,1.0,1.0,1.0
22.0,A1176,9,11.0,104,white,1.0,1.0,1.0
22.0,A1176,10,12.0,110,black,1.0,1.0,1.0
22.0,A1176,11,13.0,122,white,1.0,1.0,1.0
22.0,A1176,12,14.0,130,black,1.0,1.0,1.0
22.0,A1176,13,15.0,144,white,-1.0,1.0,0.0
22.0,A1176,14,14.0,133,black,1.0,1.0,1.0
22.0,A1176,15,14.0,130,white,1.0,1.0,1.0
22.0,A1176,16,15.0,146,black,1.0,1.0,1.0
22.0,A1176,17,16.0,153,white,1.0,1.0,1.0
22.0,A1176,18,17.0,159,black,0.0,1.0,0.0
22.0,A1176,19,17.0,168,white,-1.0,1.0,0.0
22.0,A1176,20,16.0,151,black,1.0,1.0,1.0
