,subject,fold,1,2,3,4,5,6,7,8,9,10
43,149:R_shhEOP9BPIFkz97,4,4.0481,0.01203,0.27082,0.077466,1.1207,0.59088,1.0483,0.75858,4.4252,10
44,149:R_shhEOP9BPIFkz97,5,19.989,0.019989,0.44995,0.05,1.2002,0.80078,1.001,0.40039,3.501,10
45,150:R_3ilNhJufw9u0JJr,1,2.9852,0.0091127,0.49129,0.050322,1.0773,0.7177,0.97115,-0.76489,3.2979,7.187
46,150:R_3ilNhJufw9u0JJr,2,1.6372,0.014246,0.52212,0.050029,0.84866,0.60136,0.97136,-0.34611,3.2976,9.9996
47,150:R_3ilNhJufw9u0JJr,3,5.1731,0.0024121,0.5641,0.050489,0.96839,0.76176,1.0005,-1.1591,4.9809,10
48,150:R_3ilNhJufw9u0JJr,4,2.3125,0.02286,0.45698,0.050224,0.9232,0.55391,1.1392,-0.03965,3.6129,9.7013
49,150:R_3ilNhJufw9u0JJr,5,3.9487,0.005687,0.36814,0.050918,0.90515,0.393,0.82689,-0.65235,3.3142,9.9938
50,152:R_XEQd4AtPvWuAWnT,1,2.0621,0.027572,0.37615,0.07432,1.011,0.57209,1.1447,-0.35214,3.6562,9.7153
51,152:R_XEQd4AtPvWuAWnT,2,0.9735,0.011261,0.3201,0.059261,0.90323,0.39152,0.97695,-0.27152,3.7368,9.682
52,152:R_XEQd4AtPvWuAWnT,3,2.2284,0.023347,0.22738,0.059615,1.0923,0.67833,0.97723,-0.079276,3.4982,9.6952
53,152:R_XEQd4AtPvWuAWnT,4,2.0814,0.0031972,0.32147,0.050759,0.88283,0.47419,0.97702,-0.56238,3.5285,9.2588
54,152:R_XEQd4AtPvWuAWnT,5,3.2777,0.15893,0.30086,0.099353,1.0913,0.84481,1.0402,-0.56724,4.3626,8.1843
55,156:R_2TTetTXWqRwQOGb,1,0.81864,0.35616,0.41635,0.050815,0.96214,0.17259,1.1452,-0.33914,3.6651,9.8939
56,156:R_2TTetTXWqRwQOGb,2,0.44749,0.035428,0.38141,0.065502,1.3053,0.41221,1.0908,-0.11051,4.284,9.9814
57,156:R_2TTetTXWqRwQOGb,3,0.63614,0.94304,0.32553,0.099776,1.1746,0.37312,1.1133,-0.31066,3.988,9.965
58,156:R_2TTetTXWqRwQOGb,4,6.2895,0.99984,0.49885,0.050242,1.4974,0.41893,1.2745,-4.2917,4.2515,9.8993
59,156:R_2TTetTXWqRwQOGb,5,0.5068,0.3663,0.50183,0.058507,1.4516,0.34424,1.1682,-1.4648,3.5535,9.989
60,166:R_9Nac2hjg6u7BlS1,1,2.657,0.0067417,0.49851,0.050847,0.67903,0.52836,1.0783,-0.80649,3.7264,9.2507
61,166:R_9Nac2hjg6u7BlS1,2,0.29604,0.079917,0.2657,0.071541,0.43894,0.62012,1.0149,0.2184,2.9081,9.9395
62,166:R_9Nac2hjg6u7BlS1,3,1.0823,0.0093429,0.31189,0.12255,0.54004,0.40161,1.0904,0.18768,3.9185,8.9771
63,166:R_9Nac2hjg6u7BlS1,4,0.61929,0.014569,0.41292,0.051447,0.5327,0.18228,1.6073,-0.14297,4.2277,10
