fold,featureDropRate,heuristicQuality,planningDepth,elo
3,0.337028,0.434532691,6.801418,227
3,0.26747,0.5618584,5.53113,179
3,0.312318,0.520145285,0.840617334,179
3,0.196552,0.530356646,3.352002,109
3,0.25276,0.542437628,3.902396,-9
3,0.27996,0.551881765,6.007836,129
3,0.606042,0.553032556,4.223344,-8
3,0.426556691,0.377826906,4.893242,-194
3,0.289956,0.497331682,4.75687,66
3,0.408746,0.467568959,5.135522,-53
3,0.376082,0.454391416,4.46158,7
3,0.46076,0.459163732,0.30931041,-96
3,0.605498,0.498447241,3.279274,-116
3,0.236786,0.486147056,1.32358904,-45
3,0.22644,0.506418165,3.25028325,85
3,0.286698,0.407600732,1.5975973,-180
3,0.41529,0.377730641,3.57987586,-70
3,0.2317954,0.553511461,1.211758352,219
3,0.295454,0.525558228,0.537989381,319
3,0.503152,0.405011984,1.973221704,198
3,0.200252,0.493908489,0.965483978,66
3,0.43983,0.55376758,6.1227,141
3,0.319796,0.540679102,2.53762492,144
3,0.52959,0.514786026,3.085644,-178
3,0.541072,0.490080401,4.8305,-180
3,0.190224,0.536044725,5.196662,222
3,0.500096,0.481836629,4.188028,58
3,0.397236,0.560605963,4.833378,115
3,0.304836,0.501400591,2.585194,40
3,0.172865829,0.286631377,3.527716361,-91
3,0.65983,0.514081011,6.314336,95
3,0.2148286,0.494570898,3.942295297,191
3,0.540316,0.496821591,3.405874,-66
3,0.370092,0.512345037,4.99227214,139
3,0.400038,0.543117312,2.63428026,59
3,0.1909452,0.552244762,4.82845,98
3,0.30545,0.541813118,4.104206,163
3,0.586814,0.550428001,3.874852,101
3,0.31283,0.255036968,1.8553056,-85
3,0.259518,0.523496747,2.390153345,281
3,0.273266,0.507422033,5.5307,164
3,0.375872,0.353820626,4.206925072,171
3,0.000176905,0.191460066,8.04412,-483
3,0.443538,0.531012915,3.879047587,124
3,0.251562,0.549771276,2.8358944,94
3,0.301336,0.564754351,2.388759432,201
3,0.244772,0.470824291,4.171816,104
3,0.472226,0.501969718,4.038494,27
3,0.448178,0.537401793,6.069524,139
3,0.450898,0.443366956,1.6741223,-68
3,0.500954,0.459511187,0.17831089,2
3,0.374232,0.542585148,5.616352,153
3,0.339826,0.528487128,5.807332,195
3,0.418750672,0.377324269,6.194162,115
3,0.698136,0.487889541,6.075,40
3,0.430912,0.455235888,4.784072,107
3,0.391016,0.400950315,1.713523742,153
3,0.530376,0.548930576,3.474274,-43
3,0.196756,0.427309563,4.409824,283
3,0.397496,0.558260622,0.915564362,156
3,0.282372,0.526178633,4.17124,168
3,0.354944,0.517875684,4.032974,104
3,0.410448,0.541039471,2.958238,44
3,0.00037312,0.071739498,3.74984073,-198
3,0.27981,0.570180942,5.28212,284
3,0.152485475,0.211525193,6.990087415,-187
3,0.33212,0.401027203,1.89774967,-127
3,0.425392,0.555869537,2.54312773,107
3,0.3566,0.547587688,5.370734,222
3,0.310308,0.51248457,4.4844,220
3,0.305274,0.547800869,2.894222593,244
3,0.314036,0.5483511,4.008218,78
3,0.35758,0.438677339,5.45252,151
3,0.400508,0.507377319,1.1043175,5
3,0.403422,0.413902743,2.949702,-38
3,0.633794,0.51875111,5.582694,-29
3,0.345198,0.50234554,4.859932,107
3,0.2621,0.475472934,5.4291506,252
3,0.423256,0.490308479,4.08832408,-128
3,0.37356,0.414094637,0.672244027,-108
3,0.437178,0.468102498,1.074439602,-94
3,0.332316,0.318427934,3.432496,-81
3,0.40798,0.462188912,4.832518,91
3,0.358330405,0.429731588,4.367189,-205
3,0.451758,0.526984287,2.701784,32
3,0.60631,0.531367187,6.109924,92
3,0.154043,0.421353471,5.905956,274
3,0.317732,0.548121944,1.954897312,117
3,0.441876,0.513913363,2.744382,-109
3,0.452964,0.496340761,4.608852,68
3,0.389952,0.557755617,2.896645339,40
3,0.364756,0.556164189,5.887834,207
3,0.226544,0.086412317,1.329018648,55
3,0.444526,0.509367144,4.696228,84
3,0.49475,0.540634703,2.853408,-31
3,0.13097192,0.068570955,6.34466268,-86
3,0.47322,0.535727894,1.166389024,90
3,0.331732,0.540335143,5.800686,163
3,0.342948,0.538059808,2.7075556,108
3,0.493138,0.498700187,5.973882,-99
3,0.1979328,0.505088711,5.121798,265
3,0.305536,0.554125935,1.8281294,-9
3,0.443362,0.5293895,4.773414,76
3,0.348694,0.517973136,6.33851,206
3,0.462306,0.503022973,5.44366,144
3,0.276932,0.465460141,5.793714,107
3,0.421754,0.490231634,6.14079,121
3,0.299962,0.4583449,6.396082,126
3,0.182124,0.505243715,6.427432,356
3,0.239718,0.540651542,3.345422,222
3,0.471736,0.557138103,3.179256,66
3,0.28171,0.479301708,5.952326,207
3,0.3728508,0.523194409,3.915026,225
3,0.555358,0.533679378,3.088222,4
3,0.30196,0.567082557,2.32576866,62
3,0.2751214,0.546210421,4.736426,164
3,0.175884901,0.247552212,8.673966,-125
3,0.248154,0.530624164,3.955338,105
3,0.3525,0.517744053,5.198402,273
3,0.409502,0.458002742,6.561638,273
3,0.456916,0.502116089,4.223952,8
3,0.547372,0.568229607,5.745054,173
3,0.529832,0.561459263,0.860104195,52
3,0.37063,0.546206628,4.978622,87
3,0.311356,0.558662049,2.730637924,50
3,0.324008756,0.541912937,4.113422,160
3,0.217294,0.533065106,4.916862,133
3,0.61978,0.49716767,2.756788,-139
3,0.329362,0.373998076,6.661888,341
3,0.301956,0.441125275,2.1256742,17
3,0.285908,0.529503018,3.346054,309
3,0.253208,0.507666077,3.52948968,149
3,0.334064,0.267508889,0.722941193,-62
3,0.299832,0.486122135,6.910364,243
3,0.30725,0.555072224,2.251246,174
3,0.411104,0.460949474,3.511872,136
3,0.24828,0.499015096,7.075718,259
3,0.657052,0.436624158,6.107332,206
3,0.452144,0.505469006,6.825826,94
3,0.207754,0.524571971,3.252036,127
3,0.266744,0.480626739,5.023036,238
3,0.279944,0.519459305,2.66330786,199
3,0.475542,0.564659495,5.673998,49
3,0.64224,0.558198539,4.981684,-11
3,0.340438,0.482825401,3.92028902,194
3,0.321084,0.522247494,5.94298,211
3,0.484442,0.526265092,5.532292,250
3,0.255904,0.534118952,5.81801,306
3,0.473368,0.510125514,4.758144,117
3,0.349934,0.518101259,4.1024,251
3,0.237642,0.48455672,6.060996,255
3,0.343632,0.535654015,4.770996,180
3,0.42687,0.509833328,6.22969,405
3,0.387308,0.553944551,4.884836,178
3,0.409856,0.549628273,5.95177,214
3,0.54578,0.546817257,6.264642,62
3,0.641392,0.42224502,6.062878,122
