0	0	Black	2097152	2.161	2	A1183
2097152	1024	Black	2048	3.87	4	A1183
2099200	1040	Black	2147483648	2.37	4	A1183
2149582848	9232	Black	2	1.492	1	A1183
2048	0	White	16	2.855	2	A1183
2050	16	White	4194304	4.475	3	A1183
8390658	4194320	White	2147483648	2.169	3	A1183
8390659	2151677968	White	8192	0.94	4	A1183
0	0	Black	2048	1.871	4	A1183
2048	16384	Black	512	3.258	1	A1183
2560	540672	Black	4096	2.153	1	A1183
6656	541696	Black	2097152	8.289	1	A1183
2103808	2148025344	Black	1073741824	3.925	3	A1183
1075845632	2156413952	Black	8	1.169	5	A1183
8192	0	White	4096	4.438	4	A1183
8704	4096	White	8	3.218	1	A1183
8720	4104	White	2097152	1.737	4	A1183
1073750544	2101256	White	4194304	1.82	1	A1183
1082139152	6295560	White	4	1.942	1	A1183
5377106448	6295564	White	1048576	1.509	4	A1183
7524590096	7344140	White	524288	1.486	4	A1183
0	0	Black	1048576	3.57	3	A1183
1048576	8192	Black	4194304	1.833	5	A1183
5242880	24576	Black	4096	1.833	4	A1183
5246976	57344	Black	65536	1.477	4	A1183
5312512	8445952	Black	16	1.894	3	A1183
5312528	8445960	Black	268435456	1.414	2	A1183
16384	0	White	4096	1.92	5	A1183
4210688	4096	White	2097152	3.015	2	A1183
2151694336	2101248	White	8	7.447	3	A1183
2420129792	2101256	White	1073741824	1.179	2	A1183
0	0	Black	2048	4.134	2	A1183
2048	16	Black	4096	1.882	4	A1183
6144	17	Black	1024	2.826	1	A1183
7168	2097169	Black	8192	0.994	3	A1183
4096	0	White	8192	2.298	3	A1183
1073745920	8192	White	16384	1.885	1	A1183
1342181376	24576	White	32768	1.561	4	A1183
1879052288	57344	White	65536	1.202	5	A1183
0	0	Black	16	2.226	4	A1183
16	8388608	Black	8192	1.431	3	A1183
8208	2155872256	Black	32768	2.878	1	A1183
40976	3229614080	Black	16384	2.973	4	A1183
57360	3229618176	Black	65536	1.515	3	A1183
2097152	0	White	8192	3.428	2	A1183
2101248	8192	White	16384	1.815	4	A1183
6295552	24576	White	32768	1.354	1	A1183
7344128	57344	White	65536	1.419	3	A1183
0	0	Black	2048	5.541	3	A1183
2048	8192	Black	2097152	3.942	5	A1183
2099200	8256	Black	2147483648	2.462	5	A1183
2149582848	1056832	Black	2	2.205	5	A1183
4194304	0	White	2048	1.72	4	A1183
4202496	2048	White	4	4.232	4	A1183
