0	0	Black	2097152	1.593	2	A217
2097152	8192	Black	1048576	1.129	3	A217
3145728	532480	Black	2048	1.311	3	A217
3147776	8590467072	Black	4	1.607	2	A217
3147780	9664208896	Black	536870912	1.12	4	A217
4294967296	0	White	4096	0.33	4	A217
4294967808	4096	White	2097152	1.052	2	A217
4295492096	2101248	White	8192	1.35	5	A217
4295492104	2109440	White	536870912	1.044	5	A217
4295492136	538980352	White	2048	1.428	2	A217
6442975784	538982400	White	1024	1.187	3	A217
0	0	Black	4194304	1.604	1	A217
4194304	8388608	Black	8192	1.035	3	A217
4202496	8388624	Black	2097152	0.88	1	A217
6299648	75497488	Black	32	2.02	1	A217
6299680	75501584	Black	536870912	1.475	5	A217
4194304	0	White	2048	1.264	2	A217
4210688	2048	White	64	1.775	2	A217
12599296	2112	White	8192	1.561	3	A217
29376512	10304	White	33554432	3.441	1	A217
29409280	33564736	White	4096	5.073	5	A217
29409312	33568832	White	1024	2.05	5	A217
0	0	Black	2097152	1.315	4	A217
2097152	4194304	Black	8192	1.27	1	A217
2105344	541065216	Black	32	3.325	5	A217
2105376	549453824	Black	1073741824	3.768	2	A217
1075847200	549457920	Black	2048	3.113	1	A217
1075849248	566235136	Black	33554432	3.405	3	A217
1109403680	4861202432	Black	2147483648	3.254	2	A217
3256887328	4861464576	Black	2	1.405	4	A217
512	0	White	524288	3.32	4	A217
8704	524288	White	134217728	1.386	3	A217
4203008	134742016	White	2048	1.09	3	A217
4203024	134744064	White	8	1.279	2	A217
0	0	Black	8388608	1.902	4	A217
8388608	4	Black	4194304	1.196	5	A217
12582912	16777220	Black	16384	0.708	2	A217
12599296	16777236	Black	1073741824	1.805	5	A217
1086341120	16908308	Black	64	1.207	3	A217
536870912	0	White	524288	2.087	4	A217
1610612736	524288	White	2147483648	2.076	4	A217
1610612740	2148007936	White	2048	1.855	5	A217
1610612804	2148009984	White	134217728	1.052	4	A217
1610613316	2282227712	White	8	0.997	5	A217
0	0	Black	8388608	1.959	4	A217
8388608	8192	Black	32768	2.241	1	A217
8421376	2147491840	Black	4194304	2.349	5	A217
12615680	2147492096	Black	16777216	4.917	4	A217
29392896	2148540672	Black	2097152	1.147	4	A217
16	0	White	2048	1.621	1	A217
18	2048	White	2097152	1.385	4	A217
67108882	2099200	White	536870912	1.53	1	A217
67108886	538970112	White	8	1.929	5	A217
67112982	538970120	White	1048576	7.623	4	A217
71307286	540018696	White	524288	3.669	5	A217
0	0	Black	16777216	1.54	4	A217
16777216	2097152	Black	16384	1.613	2	A217
16793600	2101248	Black	16	1.264	5	A217
16793616	17181970432	Black	8	3.165	3	A217
