0	0	Black	4194304	2.64	4	858
4194304	131072	Black	2097152	1.394	1	858
6291456	131080	Black	8388608	1.261	4	858
14680064	196616	Black	1048576	0.621	1	858
8589934592	0	White	8388608	2.324	5	858
8594128896	8388608	White	16384	2.769	3	858
12889096192	8404992	White	2147483648	5.014	5	858
30068965376	2155888640	White	34359738368	2.184	2	858
31142707200	36515627008	White	32768	1.136	5	858
31142711296	36515659776	White	128	0.789	3	858
0	0	Black	2097152	1.655	1	858
2097152	512	Black	1073741824	2.873	2	858
1075838976	33280	Black	4096	0.578	3	858
1075843072	33312	Black	8	0.53	4	858
8589934592	0	White	2097152	0.66	4	858
12884901888	2097152	White	2147483648	1.618	5	858
13958643712	2149580800	White	2048	2.107	1	858
13959692288	2149582848	White	2	0.535	4	858
0	0	Black	1048576	1.476	5	858
1048576	268435456	Black	1073741824	1.186	1	858
1074790400	272629760	Black	1024	1.126	3	858
1074791424	272629888	Black	1	1.359	2	858
4294967296	0	White	1024	1.15	3	858
6442450944	1024	White	1073741824	1.523	3	858
6442467328	1073742848	White	1048576	2.767	3	858
6459244544	1074791424	White	1	0.586	5	858
0	0	Black	65536	0.851	3	858
65536	16384	Black	4294967296	0.58	3	858
4295032832	17179885568	Black	16777216	0.896	5	858
4311810048	17179889664	Black	256	0.751	5	858
8192	0	White	4194304	0.876	1	858
2147491840	4194304	White	8388608	0.642	5	858
2149588992	12582912	White	16777216	0.878	2	858
2183143424	29360128	White	4294967296	3.214	5	858
2183208960	4324327424	White	16384	4.058	3	858
2183208992	4324343808	White	32768	4.978	2	858
0	0	Black	1024	1.138	4	858
1024	33554432	Black	2097152	0.655	2	858
2098176	33570816	Black	1048576	4.393	1	858
3146752	1107312640	Black	4194304	0.834	3	858
7341056	1107836928	Black	8388608	1.108	1	858
4294967296	0	White	4194304	1.119	3	858
4297064448	4194304	White	8388608	0.79	1	858
5370806272	12582912	White	16777216	2.781	2	858
5370937344	29360128	White	33554432	0.884	2	858
0	0	Black	2048	2.679	4	858
2048	8388608	Black	1024	1.028	3	858
3072	8396800	Black	4096	0.791	3	858
7168	8413184	Black	512	1.004	5	858
8	0	White	4194304	1.791	1	858
9	4194304	White	8388608	1.183	3	858
2057	12582912	White	2097152	1.341	4	858
2061	14680064	White	16777216	0.975	2	858
0	0	Black	8388608	1.845	5	858
8388608	2147483648	Black	4194304	1.107	1	858
12582912	2149580800	Black	16777216	0.714	1	858
29360128	2183135232	Black	4294967296	1.931	1	858
4324327424	2183135234	Black	2048	2.206	5	858
4324329472	2183135238	Black	8	1.362	5	858
4324329480	2183135366	Black	8192	4.995	3	858
4324337672	2183151750	Black	8589934592	1.082	1	858
8192	0	White	33554432	2.711	4	858
4202496	33554432	White	67108864	1.332	3	858
4202512	100663296	White	2147483648	0.687	4	858
4206608	2248146944	White	16777216	0.818	1	858
4208656	2264924160	White	8388608	0.474	1	858
0	0	Black	1048576	2.391	2	858
1048576	256	Black	1073741824	1.155	3	858
1074790400	8589934848	Black	1024	0.482	1	858
1074791424	8589934864	Black	1	0.451	5	858
2048	0	White	16777216	3.028	2	858
2112	16777216	White	4194304	2.857	2	858
2144	20971520	White	8388608	4.231	4	858
6240	29360128	White	33554432	0.774	2	858
0	0	Black	1024	2.713	5	858
1024	262144	Black	1073741824	2.564	5	858
1073742848	262400	Black	1048576	0.616	5	858
1074791424	262401	Black	268435456	2.493	3	858
1343226880	537133313	Black	4096	3.248	2	858
1343230976	537133329	Black	2	0.754	2	858
1343230978	537657617	Black	8	6.106	2	858
1343230986	539754769	Black	2048	2.432	4	858
1343233034	539762961	Black	512	1.027	4	858
536870912	0	White	16384	1.055	4	858
536870976	16384	White	16777216	3.013	5	858
17716740160	16793600	White	8388608	3.315	5	858
18790481984	25182208	White	4294967296	1.635	2	858
18790482016	4320149504	White	65536	1.798	1	858
18790482272	4320215040	White	4194304	1.479	5	858
0	0	Black	2048	1.462	2	858
